Year,Team,Position,Depth Chart,Name
1991,MIN,DL,DE,Keith Millard
1991,NE,QB,QB,Hugh Millen
1991,WAS,LB,MLB,Matt Millen
1991,SD,WR,WR,Anthony Miller
1991,NYJ,OL,OT,Brett Miller
1991,ATL,QB,QB,Chris Miller
1991,NYG,LB,LB,Corey Miller
1991,NO,DL,DT,Les Miller
1991,MIA,WR,WR,Scott Miller
1991,NYG,WR,WR,James Milling
1991,PIT,WR,WR,Ernie Mills
1991,DEN,LB,LB,Jeff Mills
1991,NO,LB,ILB,Sam Mills
1991,KC,DB,DB,Charles Mincy
1991,CLE,DB,CB,Frank Minnifield
1991,HOU,WR,WR,Frank Miotke
1991,WAS,RB,RB,Brian Mitchell
1991,ATL,DB,CB,Brian Mitchell
1991,PHI,DB,DB,Chris Mitchell
1991,GB,DB,DB,Roland Mitchell
1991,MIA,QB,QB,Scott Mitchell
1991,KC,RB,RB,Stump Mitchell
1991,CIN,DL,DE,Alonzo Mitz
1991,BUF,SPEC,P,Chris Mohr
1991,SF,SPEC,P,Ralf Mojsiejenko
1991,WAS,WR,WR,Art Monk
1991,SF,QB,QB,Joe Montana
1991,DEN,DB,DB,Alton Montgomery
1991,HOU,DL,NT,Glenn Montgomery
1991,HOU,SPEC,P,Greg Montgomery
1991,HOU,QB,QB,Warren Moon
1991,NYG,OL,G,Eric Moore
1991,DET,WR,WR,Herman Moore
1991,NYJ,WR,WR,Rob Moore
1991,DEN,QB,QB,Shawn Moore
1991,MIA,DB,DB,Stevon Moore
1991,GB,OL,G,Rich Moran
1991,CHI,WR,WR,Anthony Morgan
1991,CLE,RB,RB,Joe Morris
1991,MIN,OL,G,Mike Morris
1991,CHI,WR,WR,Ron Morris
1991,CHI,LB,OLB,Jim Morrissey
1991,NO,RB,RB,Bobby Morse
1991,RAI,OL,C,Don Mosebar
1991,NYG,LB,LB,Anthony Moss
1991,RAI,LB,OLB,Winston Moss
1991,IND,OL,OT,Zefross Moss
1991,SD,OL,G,Eric Moten
1991,NYJ,LB,LB,Joe Mott
1991,NYG,TE,TE,Zeke Mowatt
1991,CIN,OL,G,Ken Moyer
1991,IND,TE,TE,Bob Mrosko
1991,BUF,RB,RB,Jamie Mueller
1991,PIT,TE,TE,Mike Mularkey
1991,HOU,OL,G,Mike Munchak
1991,KC,LB,LB,Marc Munford
1991,CIN,OL,OT,Anthony Munoz
1991,TB,LB,OLB,Kevin Murphy
1991,DET,SPEC,K,Eddie Murray
1991,DEN,LB,LB,Mark Murray
1991,SF,QB,QB,Bill Musgrave
1991,MIN,DB,CB,Najee Mustafaa
1991,CHI,RB,FB,Brad Muster
1991,DAL,LB,LB,Godfrey Myles
1991,NYJ,QB,QB,Browning Nagle
1991,SEA,DL,DT,Joe Nash
1991,DEN,WR,WR,Ricky Nattiel
1991,MIN,RB,RB,Darrin Nelson
1991,SF,OL,G,Tom Neville
1991,RAM,OL,C,Tom Newberry
1991,SEA,LB,LB,Richard Newbill
1991,RAM,DB,DB,Anthony Newman
1991,NO,WR,WR,Pat Newman
1991,MIN,SPEC,P,Harry Newsome
1991,CLE,DB,S,Vince Newsome
1991,DAL,OL,OT,Nate Newton
1991,TB,DL,DT,Tim Newton
1991,TB,DL,DT,Gerald Nichols
1991,PIT,LB,ILB,Hardy Nickerson
1991,GB,LB,ILB,Brian Noble
1991,MIN,DL,DE,Al Noga
1991,DET,LB,LB,Niko Noga
1991,DAL,DL,DT,Danny Noonan
1991,HOU,OL,G,Erik Norgard
1991,DAL,LB,OLB,Ken Norton
1991,BUF,SPEC,K,Scott Norwood
1991,DAL,TE,TE,Jay Novacek
1991,MIN,TE,TE,Brent Novoselsky
1991,PHO,LB,OLB,Freddie Joe Nunn
1991,NYJ,QB,QB,Ken O'Brien
1991,PIT,QB,QB,Neil O'Donnell
1991,TB,QB,QB,Pat O'Hara
1991,SD,LB,OLB,Leslie O'Neal
1991,NYG,OL,C,Bart Oates
1991,MIN,WR,WR,Terry Obee
1991,NYJ,DB,DB,Don Odegard
