Year,Team,Rsh TD,Rec TD,Tot TD,2-PT
2007,Bears,8,18,34,0
2007,Niners,8,15,23,0
2007,Falcons,7,18,25,0
2007,Panthers,7,19,27,0
2007,Chiefs,6,17,23,1
2007,Jets,6,15,25,0
2007,Rams,5,19,27,0
2008,Panthers,30,15,45,1
2008,Titans,24,13,41,0
2008,Falcons,23,16,43,0
2008,Patriots,21,21,43,0
2008,Ravens,20,16,41,0
2008,Saints,20,34,57,0
2008,Jets,20,22,46,1
2008,Giants,19,23,45,0
2008,Dolphins,18,20,40,0
2008,Jaguars,17,15,34,0
2008,Bills,16,14,35,0
2008,Texans,16,21,40,0
2008,Steelers,16,19,37,0
2008,Bears,15,20,40,0
2008,Broncos,15,25,40,1
2008,Vikings,15,22,39,0
2008,Eagles,15,23,42,0
2008,Cardinals,14,31,50,1
2008,Colts,13,27,43,1
2008,Chargers,13,34,50,0
2008,Buccaneers,13,18,37,0
2008,Cowboys,12,29,43,0
2008,Redskins,12,14,27,0
2008,Packers,11,28,47,0
2008,Lions,10,18,28,0
2008,Niners,10,21,36,0
2008,Seahawks,10,18,31,0
2008,Chiefs,9,23,34,0
2008,Raiders,9,13,27,0
2008,Rams,8,11,19,0
2008,Bengals,6,11,18,0
2008,Browns,6,11,20,0
2009,Ravens,22,21,46,0
2009,Dolphins,22,15,40,1
2009,Saints,21,34,61,0
2009,Jets,21,12,36,0
2009,Packers,20,30,53,0
2009,Titans,19,16,39,1
2009,Jaguars,19,15,34,1
2009,Vikings,19,34,55,0
2009,Patriots,19,28,50,0
2009,Panthers,18,16,35,1
2009,Chargers,17,29,49,0
2009,Colts,16,34,53,0
2009,Cardinals,16,27,46,0
2009,Falcons,15,26,42,0
2009,Cowboys,14,26,43,1
2009,Giants,14,28,45,0
2009,Eagles,14,27,45,0
2009,Texans,13,29,45,0
2009,Niners,12,23,37,0
2009,Browns,10,11,25,1
2009,Steelers,10,28,40,0
2009,Bengals,9,21,33,1
2009,Broncos,9,21,32,0
2009,Lions,9,16,27,0
2009,Chiefs,8,18,30,0
2009,Redskins,8,21,29,0
2009,Raiders,7,10,17,0
2009,Seahawks,7,20,29,0
2009,Bills,6,17,25,0
2009,Bears,6,27,36,0
2009,Buccaneers,5,18,28,1
2009,Rams,4,12,17,0
2010,Texans,20,24,44,0
2010,Raiders,19,18,43,0
2010,Patriots,19,37,64,0
2010,Eagles,18,28,48,0
2010,Chargers,18,30,51,1
2010,Giants,17,31,48,1
2010,Vikings,16,14,32,0
2010,Steelers,15,22,41,2
2010,Falcons,14,28,46,2
2010,Jaguars,14,26,41,0
2010,Jets,14,20,39,0
2010,Browns,13,13,28,0
2010,Broncos,13,25,39,0
2010,Titans,13,24,40,0
2010,Colts,13,33,50,0
2010,Chiefs,13,27,44,0
2010,Seahawks,13,14,33,0
2010,Ravens,11,25,40,0
2010,Lions,11,26,40,0
2010,Packers,11,31,45,0
2010,Bears,10,23,37,0
2010,Cowboys,10,29,45,2
2010,Niners,10,19,34,0
2010,Rams,9,18,27,0
2010,Saints,9,33,44,0
2010,Cardinals,9,10,27,0
2010,Buccaneers,9,26,39,1
2010,Redskins,9,21,32,0
2010,Bengals,8,26,35,2
2010,Dolphins,8,17,25,0
2010,Panthers,7,9,17,0
2010,Bills,6,24,33,0
2011,Panthers,26,21,48,0
2011,Eagles,20,22,43,0
2011,Texans,18,20,41,0
2011,Vikings,18,20,39,0
2011,Patriots,18,39,60,2
2011,Giants,17,29,46,4
2011,Raiders,16,20,37,0
2011,Saints,16,46,64,0
2011,Chargers,16,27,45,0
2011,Ravens,15,21,38,1
2011,Seahawks,15,15,35,0
2011,Falcons,14,29,45,0
2011,Jets,14,26,45,0
2011,Niners,14,18,35,0
2011,Steelers,13,21,35,0
2011,Bills,12,24,41,1
2011,Packers,12,51,69,0
2011,Cardinals,12,21,37,0
2011,Broncos,11,20,36,3
2011,Dolphins,11,20,33,0
2011,Bears,10,18,36,1
2011,Bengals,10,21,33,0
2011,Lions,9,41,55,0
2011,Jaguars,9,12,22,0
2011,Buccaneers,9,17,29,0
2011,Titans,8,22,34,0
2011,Colts,8,14,24,0
2011,Redskins,8,19,28,0
2011,Rams,7,9,18,0
2011,Cowboys,5,33,39,0
2011,Chiefs,5,13,20,0
2011,Browns,4,16,21,0
2012,Patriots,25,34,64,0
2012,Redskins,22,24,51,1
2012,Panthers,21,19,44,0
2012,Texans,19,22,46,0
2012,Giants,18,26,46,1
2012,Ravens,17,22,44,0
2012,Lions,17,22,39,0
2012,Niners,17,23,43,0
2012,Vikings,16,18,39,1
2012,Seahawks,16,27,48,0
2012,Dolphins,15,13,31,0
2012,Buccaneers,13,27,44,0
2012,Falcons,12,32,45,0
2012,Bills,12,24,40,0
2012,Browns,12,16,31,0
2012,Broncos,12,37,56,0
2012,Jets,12,14,30,0
2012,Bears,11,21,41,1
2012,Bengals,11,28,42,0
2012,Colts,11,23,40,1
2012,Titans,10,17,35,0
2012,Saints,10,43,58,1
2012,Eagles,10,18,29,0
2012,Cardinals,10,11,24,0
2012,Packers,9,40,52,0
2012,Chiefs,9,8,17,0
2012,Cowboys,8,29,39,1
2012,Steelers,8,27,36,0
2012,Jaguars,5,20,26,1
2012,Rams,5,22,31,1
2012,Raiders,4,24,28,0
2012,Chargers,4,26,37,0
2013,Vikings,23,18,44,0
2013,Patriots,19,25,46,2
2013,Eagles,19,32,52,3
2013,Niners,18,21,41,0
2013,Packers,17,25,44,0
2013,Chiefs,17,24,50,0
2013,Broncos,16,55,75,0
2013,Titans,16,22,39,0
2013,Raiders,16,17,35,0
2013,Bills,15,16,33,2
2013,Lions,15,29,47,2
2013,Colts,15,23,40,4
2013,Panthers,14,24,42,0
2013,Bengals,14,33,53,0
2013,Seahawks,14,27,44,0
2013,Redskins,14,20,38,2
2013,Bears,13,32,51,5
2013,Cowboys,12,33,48,1
2013,Jets,12,13,27,0
2013,Cardinals,12,24,40,1
2013,Falcons,11,26,39,1
2013,Giants,11,18,32,1
2013,Rams,10,22,35,3
2013,Saints,10,39,49,0
2013,Steelers,9,28,41,1
2013,Chargers,9,32,42,0
2013,Dolphins,8,24,34,0
2013,Ravens,7,19,29,3
2013,Texans,7,19,28,1
2013,Jaguars,7,16,24,0
2013,Buccaneers,6,22,31,0
2013,Browns,4,26,34,1
2014,Seahawks,20,20,43,0
2014,Bengals,19,20,40,1
2014,Chiefs,18,18,40,0
2014,Browns,17,12,31,0
2014,Ravens,16,27,46,1
2014,Cowboys,16,37,55,0
2014,Saints,16,33,49,0
2014,Eagles,16,27,52,0
2014,Broncos,15,40,57,2
2014,Redskins,15,18,33,0
2014,Packers,14,38,57,1
2014,Patriots,13,34,50,0
2014,Giants,13,30,43,0
2014,Texans,12,22,39,0
2014,Dolphins,12,27,41,1
2014,Vikings,12,17,34,4
2014,Falcons,11,28,41,1
2014,Lions,11,22,34,1
2014,Rams,11,20,36,1
2014,Jets,11,16,27,0
2014,Panthers,10,23,36,1
2014,Steelers,10,33,48,4
2014,Niners,10,20,32,0
2014,Colts,9,42,52,0
2014,Jaguars,9,15,25,1
2014,Bears,8,30,40,5
2014,Bills,7,23,33,2
2014,Buccaneers,7,21,31,0
2014,Titans,6,20,27,0
2014,Cardinals,6,21,31,2
2014,Chargers,6,31,37,0
2014,Raiders,4,22,27,0
2015,Bills,19,23,44,2
2015,Panthers,19,35,59,0
2015,Chiefs,19,20,43,2
2015,Bengals,18,31,50,1
2015,Vikings,18,14,37,1
2015,Rams,16,11,29,1
2015,Saints,16,32,50,1
2015,Cardinals,16,35,56,0
2015,Steelers,16,26,45,8
2015,Eagles,15,23,44,0
2015,Patriots,14,36,50,0
2015,Falcons,13,21,36,1
2015,Bears,13,21,34,2
2015,Broncos,13,19,37,0
2015,Buccaneers,12,22,35,1
2015,Dolphins,11,24,39,2
2015,Jets,11,33,44,0
2015,Titans,10,25,36,3
2015,Seahawks,10,34,46,1
2015,Redskins,9,30,43,2
2015,Ravens,8,21,32,1
2015,Cowboys,8,16,26,1
2015,Packers,8,31,42,4
2015,Lions,7,33,41,0
2015,Texans,7,29,38,2
2015,Raiders,7,34,42,1
2015,Niners,7,16,24,1
2015,Colts,6,26,36,1
2015,Browns,5,20,28,2
2015,Jaguars,5,35,42,1
2015,Giants,5,36,45,1
2015,Chargers,4,30,35,2
2016,Bills,29,17,47,4
2016,Cowboys,24,25,49,0
2016,Falcons,20,38,61,2
2016,Cardinals,20,28,50,1
2016,Patriots,19,32,51,1
2016,Bengals,17,18,35,0
2016,Raiders,17,29,47,5
2016,Saints,17,38,55,2
2016,Redskins,17,25,43,0
2016,Panthers,16,21,38,3
2016,Titans,16,29,45,0
2016,Eagles,16,16,37,4
2016,Chiefs,15,19,41,2
2016,49ers,15,21,36,2
2016,Dolphins,14,27,45,1
2016,Browns,13,15,29,2
2016,Colts,13,32,46,2
2016,Steelers,13,33,46,3
2016,Seahawks,13,23,36,1
2016,Broncos,11,20,34,1
2016,Packers,11,40,51,2
2016,Ravens,10,20,31,4
2016,Bears,10,19,31,0
2016,Jets,10,16,28,1
2016,Chargers,10,33,46,0
2016,Lions,9,24,36,1
2016,Rams,9,14,23,0
2016,Vikings,9,20,34,1
2016,Texans,8,15,25,0
2016,Jaguars,8,24,34,2
2016,Buccaneers,8,29,41,4
2016,Giants,6,26,34,0
2017,Saints,23,23,50,1
2017,Cowboys,18,22,42,0
2017,Titans,18,14,32,0
2017,Jaguars,18,21,42,3
2017,Rams,17,28,51,0
2017,Patriots,16,32,49,2
2017,Panthers,15,22,39,1
2017,Vikings,15,25,41,2
2017,49ers,15,15,31,0
2017,Ravens,14,20,40,1
2017,Bears,13,13,30,1
2017,Packers,13,25,39,1
2017,Raiders,13,23,36,2
2017,Jets,13,19,32,1
2017,Falcons,12,21,34,0
2017,Bills,12,16,29,0
2017,Chiefs,12,26,39,0
2017,Steelers,12,29,43,2
2017,Browns,11,15,27,1
2017,Colts,11,13,25,0
2017,Lions,10,29,44,2
2017,Chargers,10,28,42,0
2017,Redskins,10,27,39,0
2017,Eagles,9,38,49,6
2017,Broncos,8,19,29,2
2017,Texans,8,28,38,2
2017,Buccaneers,8,26,35,2
2017,Bengals,6,25,34,0
2017,Giants,6,20,28,1
2017,Cardinals,6,21,28,1
2017,Dolphins,4,24,29,1
2017,Seahawks,4,34,42,2
2018,Saints,26,33,60,4
2018,Rams,23,32,59,5
2018,Ravens,19,18,38,1
2018,Broncos,18,19,39,0
2018,Patriots,18,29,50,0
2018,Panthers,17,28,45,2
2018,Bears,16,28,49,4
2018,Chiefs,16,50,70,1
2018,Steelers,16,35,53,4
2018,Chargers,16,32,50,6
2018,Bills,15,13,29,1
2018,Browns,15,29,44,4
2018,Titans,15,16,34,0
2018,Seahawks,15,35,51,1
2018,Packers,14,25,41,3
2018,Bengals,13,27,43,1
2018,Cowboys,13,22,35,2
2018,Colts,13,39,52,4
2018,Giants,13,23,39,4
2018,Texans,12,26,41,0
2018,Eagles,12,29,41,5
2018,Redskins,12,16,28,2
2018,Falcons,11,36,48,2
2018,Lions,11,22,35,0
2018,Jets,11,18,34,0
2018,Buccaneers,11,36,48,1
2018,Raiders,9,19,30,1
2018,Vikings,9,30,40,3
2018,Cardinals,9,15,25,2
2018,Jaguars,7,15,25,0
2018,Dolphins,7,26,38,1
2018,49ers,7,26,35,2
2019,49ers,23,28,54,2
2019,Ravens,21,37,60,2
2019,Titans,21,29,52,1
2019,Panthers,20,17,37,1
2019,Rams,20,22,44,1
2019,Vikings,19,26,46,1
2019,Cowboys,18,30,48,2
2019,Packers,18,26,44,3
2019,Cardinals,18,20,38,3
2019,Texans,17,27,46,1
2019,Colts,17,22,42,2
2019,Patriots,17,25,47,2
2019,Chiefs,16,30,48,1
2019,Eagles,16,27,44,4
2019,Browns,15,22,38,1
2019,Seahawks,15,31,48,1
2019,Buccaneers,15,33,50,5
2019,Bills,13,21,35,3
2019,Raiders,13,22,37,0
2019,Saints,12,36,51,0
2019,Chargers,12,24,37,1
2019,Broncos,11,16,27,1
2019,Giants,11,30,43,2
2019,Falcons,10,29,41,2
2019,Dolphins,10,22,34,1
2019,Bengals,9,18,28,2
2019,Redskins,9,18,28,1
2019,Bears,8,20,30,1
2019,Lions,7,28,37,0
2019,Steelers,7,18,27,0
2019,Jets,6,19,29,3
2019,Jaguars,3,24,28,4
2020,Saints,30,28,59,0
2020,Titans,26,33,61,4
2020,Ravens,24,27,52,2
2020,Cardinals,22,27,49,0
2020,Browns,21,27,50,2
2020,Colts,20,24,50,3
2020,Raiders,20,28,48,1
2020,Vikings,20,35,55,8
2020,Patriots,20,12,35,1
2020,Panthers,19,16,35,1
2020,Rams,19,20,42,1
2020,49ers,19,25,45,1
2020,Football Team,18,16,36,0
2020,Lions,17,27,45,2
2020,Bills,16,40,59,0
2020,Packers,16,48,65,2
2020,Eagles,16,22,41,7
2020,Buccaneers,16,42,59,0
2020,Dolphins,15,24,40,4
2020,Seahawks,15,40,55,1
2020,Cowboys,14,25,40,4
2020,Falcons,13,27,41,1
2020,Bengals,13,19,33,0
2020,Broncos,13,21,35,2
2020,Chiefs,13,40,57,3
2020,Giants,13,12,26,2
2020,Bears,12,26,39,2
2020,Steelers,12,35,50,2
2020,Chargers,12,31,45,2
2020,Texans,10,33,44,1
2020,Jaguars,9,25,37,3
2020,Jets,9,16,26,1
2021,Eagles,25,20,47,5
2021,Patriots,24,24,51,3
2021,Titans,23,22,48,2
2021,Cardinals,23,27,51,0
2021,Colts,22,27,51,2
2021,49ers,22,26,50,2
2021,Bills,20,36,57,3
2021,Browns,20,21,42,3
2021,Ravens,18,21,41,2
2021,Chargers,18,38,57,7
2021,Seahawks,18,30,49,1
2021,Buccaneers,18,43,63,1
2021,Panthers,17,14,32,3
2021,Bengals,16,36,53,1
2021,Broncos,16,20,37,1
2021,Chiefs,16,37,55,2
2021,Cowboys,15,40,63,6
2021,Bears,14,16,32,3
2021,Raiders,14,23,37,0
2021,Jets,14,20,36,4
2021,Packers,13,39,54,1
2021,Jaguars,13,12,28,2
2021,Football Team,13,21,37,2
2021,Lions,12,23,35,5
2021,Dolphins,12,21,37,2
2021,Saints,12,29,43,0
2021,Falcons,11,20,33,1
2021,Rams,10,41,52,2
2021,Vikings,10,34,48,1
2021,Steelers,10,23,34,2
2021,Texans,8,21,31,2
2021,Giants,8,15,24,4
2022,Eagles,32,25,59,2
2022,Cowboys,24,28,52,0
2022,Lions,23,29,54,4
2022,Giants,21,17,39,3
2022,49ers,20,30,52,0
2022,Browns,19,19,40,1
2022,Bears,18,19,37,1
2022,Chiefs,18,41,61,3
2022,Vikings,18,30,49,3
2022,Falcons,17,17,38,3
2022,Panthers,16,16,35,1
2022,Titans,16,16,34,1
2022,Jaguars,16,25,43,4
2022,Steelers,16,12,29,3
2022,Bills,15,35,53,2
2022,Rams,15,16,32,0
2022,Cardinals,15,17,35,5
2022,Chargers,15,26,42,2
2022,Ravens,14,19,34,2
2022,Bengals,14,35,49,3
2022,Jets,13,15,29,0
2022,Packers,12,27,42,2
2022,Raiders,12,28,41,0
2022,Dolphins,12,30,44,0
2022,Patriots,12,19,37,1
2022,Saints,12,24,37,3
2022,Seahawks,12,30,44,0
2022,Broncos,11,18,29,1
2022,Commanders,9,24,35,2
2022,Colts,8,17,28,1
2022,Texans,7,20,29,1
2022,Buccaneers,5,26,32,2
2023,Buccaneers,8,28,37,2
2023,49ers,27,33,61,0
2023,Bears,16,19,37,1
2023,Bengals,12,27,41,1
2023,Bills,22,29,54,3
2023,Broncos,8,28,38,4
2023,Browns,15,24,42,6
2023,Cardinals,17,18,36,4
2023,Falcons,14,17,32,2
2023,Chargers,11,24,36,1
2023,Chiefs,9,28,39,0
2023,Colts,19,18,42,4
2023,Commanders,14,24,39,3
2023,Cowboys,14,36,57,4
2023,Eagles,22,24,49,1
2023,Giants,10,15,29,1
2023,Raiders,11,20,36,2
2023,Jaguars,17,22,41,3
2023,Jets,7,11,22,3
2023,Vikings,7,30,39,1
2023,Lions,27,30,58,3
2023,Packers,10,32,44,2
2023,Texans,10,27,40,2
2023,Panthers,7,13,23,3
2023,Patriots,9,16,27,0
2023,Titans,16,14,31,1
2023,Rams,18,26,44,4
2023,Ravens,26,27,55,2
2023,Saints,13,28,44,4
2023,Seahawks,11,23,37,2
2023,Steelers,16,13,31,1
2023,Dolphins,27,30,61,0
