PLAYER,SEASON,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Aaron Hernandez,2012,72.0,710.0,10.4,40.0,5.0,2.0,11.0,5.5,6.0,0.0,1.0,0.0
Aaron Laing,1994,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Laing,1996,13.0,116.0,9.1,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Laing,1997,5.0,31.0,6.2,11.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Laing,1998,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Marsh,1968,19.0,331.0,14.7,70.0,4.0,4.0,8.0,2.0,11.0,0.0,0.0,0.0
Aaron Marsh,1969,8.0,108.0,13.5,21.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Mellette,2013,9.0,140.0,19.9,40.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Moorehead,2003,7.0,101.0,14.6,35.0,0.0,0.0,0.0,,,0.0,1.0,0.0
Aaron Moorehead,2004,1.0,7.0,7.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Moorehead,2005,7.0,75.0,9.9,24.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Moorehead,2006,13.0,123.0,10.0,36.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Moorehead,2007,8.0,65.0,7.3,16.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Oliker,1926,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Parker,2021,5.0,76.0,14.0,36.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Pierce,1992,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Pierce,1993,14.0,227.0,12.4,54.0,0.0,0.0,0.0,,,0.0,2.0,2.0
Aaron Pierce,1994,20.0,214.0,10.4,29.0,4.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Pierce,1995,33.0,310.0,9.4,26.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0
Aaron Pierce,1996,11.0,144.0,13.3,30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Aaron Pierce,1997,11.0,49.0,4.5,14.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Pierce,1999,11.0,102.0,8.3,26.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Shea,2000,30.0,302.0,11.4,37.0,2.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Shea,2002,7.0,49.0,7.8,18.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Shea,2003,2.0,9.0,4.5,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Shea,2004,26.0,252.0,10.4,35.0,4.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Shea,2005,18.0,153.0,9.4,27.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Shea,2006,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Thomas,1961,15.0,301.0,19.4,70.0,2.0,1.0,-15.0,-15.0,-15.0,0.0,1.0,0.0
Aaron Thomas,1962,8.0,160.0,19.4,37.0,0.0,2.0,-18.0,-9.0,-9.0,0.0,0.0,0.0
