PLAYER,SEASON,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
Andy Lee,2015,90.0,4162.0,3604.0,67.0,46.5,40.6,0.0,9.0,12.0,33.0,5.0,19.0,45.0,458.0,1.0
Andy Lee,2016,55.0,2712.0,2199.0,76.0,48.4,40.3,0.0,1.0,10.0,25.0,5.0,10.0,29.0,413.0,2.0
Andy Lee,2017,95.0,4480.0,3784.0,63.0,46.9,39.8,0.0,7.0,13.0,31.0,8.0,15.0,52.0,536.0,0.0
Andy Lee,2018,123.0,5919.0,5240.0,67.0,48.3,42.8,0.0,10.0,13.0,42.0,10.0,32.0,58.0,479.0,0.0
Andy Lee,2019,70.0,3289.0,2888.0,64.0,47.7,41.4,1.0,6.0,5.0,23.0,4.0,17.0,37.0,321.0,1.0
Andy Lee,2020,58.0,2600.0,2299.0,61.0,44.7,38.7,0.0,2.0,9.0,21.0,5.0,20.0,22.0,201.0,0.0
Andy Lee,2021,64.0,3126.0,2686.0,62.0,48.7,42.1,0.0,3.0,5.0,15.0,6.0,13.0,37.0,320.0,0.0
Andy Lee,2022,77.0,3568.0,3072.0,65.0,46.5,39.3,1.0,5.0,6.0,18.0,6.0,18.0,41.0,376.0,0.0
Arryn Siposs,2021,74.0,3309.0,2931.0,69.0,44.1,38.9,0.0,8.0,12.0,20.0,4.0,14.0,36.0,298.0,0.0
Arryn Siposs,2022,61.0,2753.0,2412.0,62.0,46.2,39.6,1.0,4.0,10.0,25.0,4.0,13.0,29.0,261.0,0.0
Arryn Siposs,2023,13.0,557.0,517.0,54.0,42.3,39.8,0.0,0.0,3.0,3.0,0.0,4.0,6.0,40.0,0.0
Austin Barnard,2018,11.0,486.0,426.0,55.0,43.6,39.0,0.0,1.0,0.0,4.0,1.0,3.0,6.0,40.0,0.0
B J Sander,2004,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B J Sander,2005,64.0,2508.0,2171.0,53.0,40.3,34.8,0.0,2.0,4.0,11.0,2.0,11.0,45.0,297.0,0.0
Barry Bowman,1987,3.0,104.0,92.0,36.0,34.7,30.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0
Barry Cantrell,2000,10.0,367.0,333.0,40.0,36.4,33.0,0.0,0.0,0.0,3.0,0.0,6.0,4.0,34.0,0.0
Barry Helton,1988,94.0,3605.0,3006.0,55.0,38.9,32.3,1.0,9.0,13.0,26.0,7.0,11.0,53.0,459.0,0.0
Barry Helton,1989,66.0,2569.0,2049.0,56.0,39.7,31.0,1.0,9.0,5.0,18.0,6.0,5.0,40.0,400.0,0.0
Barry Helton,1990,80.0,2946.0,2509.0,56.0,36.9,32.1,1.0,3.0,15.0,17.0,8.0,15.0,38.0,277.0,0.0
Barry Helton,1991,12.0,453.0,352.0,46.0,42.0,34.1,1.0,0.0,1.0,2.0,2.0,4.0,4.0,61.0,0.0
Ben Graham,2005,74.0,3233.0,2808.0,59.0,43.7,38.3,0.0,5.0,12.0,18.0,6.0,15.0,36.0,305.0,0.0
Ben Graham,2006,76.0,3285.0,2840.0,69.0,44.0,38.2,1.0,8.0,11.0,28.0,12.0,16.0,28.0,205.0,0.0
Ben Graham,2007,67.0,2855.0,2453.0,62.0,42.2,36.9,1.0,6.0,10.0,23.0,7.0,12.0,31.0,262.0,0.0
Ben Graham,2008,237.0,10011.0,8406.0,60.0,42.3,36.0,0.0,27.0,30.0,87.0,6.0,48.0,126.0,1485.0,3.0
Ben Graham,2009,110.0,5151.0,4381.0,64.0,46.0,39.7,0.0,11.0,15.0,46.0,4.0,20.0,60.0,690.0,1.0
Ben Graham,2010,115.0,5011.0,4299.0,66.0,43.7,37.7,0.0,21.0,20.0,42.0,11.0,20.0,43.0,492.0,0.0
Ben Graham,2011,98.0,4280.0,3780.0,58.0,43.7,39.0,0.0,2.0,28.0,44.0,6.0,18.0,44.0,380.0,0.0
Ben Graham,2012,18.0,758.0,559.0,49.0,42.0,26.7,0.0,3.0,1.0,6.0,0.0,5.0,9.0,199.0,1.0
Bill LaFleur,2002,29.0,1048.0,906.0,60.0,38.5,32.9,1.0,5.0,3.0,6.0,1.0,5.0,14.0,122.0,0.0
Bill LaFleur,2003,69.0,2629.0,2311.0,56.0,38.8,33.8,1.0,8.0,14.0,17.0,3.0,15.0,28.0,258.0,1.0
Bill Renner,1986,18.0,622.0,550.0,50.0,40.9,34.8,3.0,1.0,2.0,2.0,1.0,0.0,11.0,52.0,0.0
Bill Renner,1987,20.0,712.0,624.0,49.0,35.3,30.8,0.0,3.0,5.0,4.0,1.0,2.0,9.0,68.0,0.0
Blake Gillikin,2021,89.0,4238.0,3743.0,63.0,47.7,41.9,0.0,7.0,11.0,31.0,4.0,21.0,46.0,415.0,0.0
Blake Gillikin,2022,91.0,4286.0,3829.0,81.0,46.8,42.0,0.0,6.0,13.0,38.0,9.0,31.0,32.0,277.0,0.0
Blake Gillikin,2023,61.0,3029.0,2588.0,77.0,49.5,42.7,0.0,3.0,10.0,15.0,3.0,10.0,35.0,381.0,0.0
Bob Grupp,1979,90.0,3883.0,3348.0,74.0,44.0,37.7,1.0,15.0,6.0,23.0,11.0,8.0,49.0,315.0,0.0
Bob Grupp,1980,85.0,3317.0,2868.0,57.0,39.4,34.4,1.0,17.0,4.0,23.0,8.0,11.0,44.0,289.0,0.0
Bob Grupp,1981,41.0,1556.0,1371.0,57.0,38.7,34.6,0.0,8.0,3.0,5.0,1.0,3.0,26.0,165.0,0.0
Bob Parsons,1974,91.0,3408.0,2635.0,59.0,37.8,29.8,1.0,10.0,6.0,0.0,7.0,8.0,58.0,633.0,1.0
Bob Parsons,1976,100.0,3726.0,3220.0,62.0,38.0,32.7,1.0,12.0,15.0,20.0,8.0,20.0,44.0,346.0,0.0
Bob Parsons,1977,88.0,3457.0,3043.0,58.0,40.4,35.5,2.0,5.0,12.0,17.0,8.0,15.0,46.0,254.0,0.0
Bob Parsons,1978,96.0,3549.0,3094.0,54.0,37.4,32.4,0.0,4.0,16.0,18.0,8.0,23.0,45.0,295.0,0.0
Bob Parsons,1979,99.0,3720.0,3145.0,54.0,37.9,31.8,1.0,7.0,14.0,27.0,6.0,13.0,58.0,455.0,0.0
Bob Parsons,1980,79.0,3207.0,2592.0,61.0,40.6,32.7,0.0,5.0,11.0,16.0,10.0,7.0,46.0,415.0,0.0
Bob Parsons,1981,114.0,4531.0,3797.0,55.0,40.1,33.7,0.0,10.0,19.0,31.0,7.0,12.0,66.0,594.0,1.0
Bob Parsons,1982,58.0,2394.0,2020.0,81.0,40.9,34.6,0.0,8.0,6.0,10.0,3.0,7.0,34.0,314.0,0.0
Bob Parsons,1983,79.0,2916.0,2555.0,54.0,36.8,32.2,0.0,12.0,14.0,21.0,5.0,11.0,37.0,261.0,0.0
Bobby Joe Green,1960,65.0,2829.0,2491.0,75.0,44.4,38.7,1.0,2.0,33.0,0.0,7.0,0.0,21.0,198.0,0.0
Bobby Joe Green,1961,73.0,3431.0,3040.0,71.0,46.9,41.7,0.0,7.0,14.0,0.0,7.0,13.0,32.0,251.0,1.0
Bobby Joe Green,1962,69.0,3018.0,2570.0,72.0,43.8,37.8,0.0,5.0,8.0,0.0,7.0,17.0,32.0,308.0,0.0
Bobby Joe Green,1963,71.0,3261.0,2803.0,66.0,45.6,39.6,0.0,5.0,8.0,3.0,8.0,13.0,37.0,298.0,0.0
Bobby Joe Green,1964,71.0,3161.0,2625.0,62.0,44.4,36.6,0.0,3.0,9.0,0.0,5.0,19.0,35.0,436.0,0.0
Bobby Joe Green,1965,58.0,2479.0,2176.0,66.0,42.6,38.1,0.0,7.0,6.0,0.0,9.0,14.0,22.0,123.0,0.0
Bobby Joe Green,1966,80.0,3358.0,3028.0,69.0,41.7,37.6,0.0,6.0,7.0,0.0,4.0,17.0,46.0,250.0,1.0
Bobby Joe Green,1967,79.0,3392.0,3064.0,68.0,43.0,39.1,0.0,3.0,8.0,0.0,8.0,19.0,41.0,168.0,0.0
Bobby Joe Green,1968,28.0,1142.0,1046.0,58.0,35.9,33.0,1.0,0.0,3.0,0.0,4.0,10.0,9.0,16.0,0.0
Bobby Joe Green,1969,77.0,2964.0,2738.0,59.0,39.2,36.8,1.0,6.0,15.0,0.0,6.0,20.0,28.0,106.0,0.0
Bobby Joe Green,1970,83.0,3395.0,2889.0,56.0,40.9,34.3,0.0,5.0,8.0,0.0,12.0,19.0,39.0,266.0,0.0
Bobby Joe Green,1971,77.0,3095.0,2763.0,60.0,39.2,35.2,0.0,7.0,9.0,0.0,8.0,22.0,31.0,172.0,0.0
Bobby Joe Green,1972,67.0,2758.0,2512.0,58.0,42.3,37.9,0.0,6.0,5.0,0.0,6.0,26.0,24.0,126.0,0.0
Bobby Joe Green,1973,82.0,3321.0,2927.0,62.0,40.4,36.1,0.0,3.0,10.0,0.0,5.0,24.0,40.0,294.0,0.0
Bobby Walden,1964,72.0,3341.0,2994.0,73.0,48.0,42.6,0.0,3.0,15.0,0.0,5.0,19.0,30.0,247.0,0.0
Bobby Walden,1965,51.0,2146.0,1825.0,61.0,44.2,36.5,0.0,9.0,1.0,0.0,3.0,9.0,29.0,261.0,0.0
Bobby Walden,1966,60.0,2463.0,2113.0,70.0,40.5,34.9,0.0,6.0,12.0,0.0,5.0,9.0,28.0,250.0,0.0
Bobby Walden,1967,75.0,3117.0,2914.0,76.0,41.6,38.4,0.0,6.0,7.0,0.0,2.0,21.0,39.0,163.0,0.0
