PLAYER,SEASON,G,GS
Scott Daly,2021,20,0
Scott Daly,2022,20,0
Scott Daly,2023,11,0
Steven Wirtel,2021,12,0
Tanner Purdum,2010,23,0
Tanner Purdum,2011,20,0
Tanner Purdum,2012,20,0
Tanner Purdum,2013,20,0
Tanner Purdum,2014,20,0
Tanner Purdum,2015,20,0
Tanner Purdum,2016,20,0
Taybor Pepper,2017,5,0
Taybor Pepper,2019,20,0
Taybor Pepper,2020,12,0
Taybor Pepper,2021,23,0
Taybor Pepper,2022,23,0
Taybor Pepper,2023,23,0
Thomas Fletcher,2021,3,0
Thomas Gafford,2009,18,0
Thomas Gafford,2010,21,0
Thomas Gafford,2011,20,0
Thomas Gafford,2012,20,0
Thomas Gafford,2013,21,0
Thomas Gafford,2014,20,0
Thomas Gafford,2015,36,0
Thomas Gafford,2016,6,0
Thomas Hennessy,2017,19,0
Thomas Hennessy,2018,20,0
Thomas Hennessy,2019,20,0
Thomas Hennessy,2020,16,0
Thomas Hennessy,2021,20,0
Thomas Hennessy,2022,20,0
Thomas Hennessy,2023,21,0
Trent Sieg,2018,20,0
Trent Sieg,2019,20,0
Trent Sieg,2020,16,0
Trent Sieg,2021,20,0
Trent Sieg,2022,21,0
Trent Sieg,2023,21,0
Tucker Addington,2022,3,0
Tucker Addington,2023,5,0
Tyler Ott,2015,4,0
Tyler Ott,2016,8,0
Tyler Ott,2017,20,0
Tyler Ott,2018,21,0
Tyler Ott,2019,22,0
Tyler Ott,2020,17,0
Tyler Ott,2021,20,0
Tyler Ott,2022,3,0
Tyler Ott,2023,22,0
Zach Triner,2019,20,0
Zach Triner,2020,20,0
Zach Triner,2021,14,0
Zach Triner,2022,21,0
Zach Triner,2023,22,0
Zach Wood,2017,22,0
Zach Wood,2018,22,0
Zach Wood,2019,20,0
Zach Wood,2020,18,0
Zach Wood,2021,19,0
Zach Wood,2022,20,0
Zach Wood,2023,20,0
Zak DeOssie,2009,19,0
Zak DeOssie,2010,20,0
Zak DeOssie,2011,24,0
Zak DeOssie,2012,20,0
Zak DeOssie,2013,20,0
Zak DeOssie,2014,21,0
Zak DeOssie,2015,16,0
Zak DeOssie,2016,21,0
Zak DeOssie,2017,20,0
Zak DeOssie,2018,20,0
Zak DeOssie,2019,13,0
