PLAYER,TOTAL,SOLO,AST,SCK,SFTY,PDEF,INT,YDS,AVG,LNG,TDS,FF,FR
Earl Jones,42.0,35.0,1.0,0.0,0.0,11.0,4.0,61.0,15.2,39.0,0.0,0.0,1.0
Earl Leggett,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,11.0,11.0,0.0,0.0,16.0
Earl Little,322.0,202.0,68.0,1.0,0.0,40.0,19.0,126.0,6.6,28.0,0.0,3.0,2.0
Earl Mitchell,319.0,163.0,123.0,12.0,0.0,11.0,0.0,0.0,,,0.0,1.0,1.0
Earl Okine,21.0,16.0,5.0,4.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0
Earl Plank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Earl Riley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Earl Thomas,855.0,558.0,252.0,3.0,0.0,89.0,34.0,617.0,18.4,86.0,4.0,13.0,6.0
Earl Wilson,43.0,30.0,4.0,8.5,0.0,4.0,0.0,0.0,,,0.0,2.0,1.0
Earl Wolff,65.0,51.0,11.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Earlie Thomas,0.0,0.0,0.0,0.0,0.0,0.0,7.0,151.0,21.6,36.0,1.0,0.0,5.0
Earnest Adams,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Earnest Barnes,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Earnest Brown IV,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Earnest Rhone,306.0,268.0,20.0,7.0,0.0,17.0,14.0,110.0,7.9,16.0,0.0,2.0,5.0
Earsell Mackbee,10.0,10.0,0.0,0.0,0.0,3.0,15.0,280.0,20.1,40.0,1.0,0.0,5.0
Earthwind Moreland,17.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Ebby DeWeese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ebenezer Ekuban,284.0,173.0,67.0,36.5,0.0,7.0,0.0,0.0,,,0.0,7.0,7.0
Ed Barker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Beard,7.0,1.0,3.0,0.0,0.0,0.0,3.0,103.0,34.3,69.0,0.0,0.0,3.0
Ed Bell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Bernet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Berrang,0.0,0.0,0.0,0.0,0.0,0.0,6.0,36.0,6.0,14.0,0.0,0.0,14.0
Ed Berry,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Bettridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Bradley,6.0,6.0,0.0,0.0,0.0,0.0,1.0,29.0,29.0,29.0,0.0,0.0,2.0
Ed Brady,73.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,4.0
Ed Brawley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Breding,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Ed Champagne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0
Ed Comstock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Conti,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ed Cooke,0.0,0.0,0.0,0.0,0.0,0.0,7.0,102.0,13.2,43.0,0.0,0.0,7.0
Ed Culpepper,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0
Ed Cummings,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Ed Ecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0
Ed Fullerton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Galigher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0
