PLAYER,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
Jake Haener,38.0,72.0,395.0,5.9,1.0,3.0,2.0,8.0,64.4,5.0,38.0,7.7,0.0,0.0,0.0
Jake Heaps,8.0,19.0,64.0,3.0,0.0,0.0,0.0,0.0,53.2,2.0,4.0,2.0,0.0,1.0,0.0
Jake Locker,525.0,897.0,6205.0,6.5,34.0,24.0,71.0,450.0,80.2,120.0,821.0,7.0,6.0,14.0,8.0
Jake Luton,114.0,198.0,1115.0,5.6,5.0,8.0,14.0,100.0,69.9,5.0,14.0,5.1,1.0,3.0,0.0
Jake Plummer,2606.0,4547.0,30593.0,6.8,168.0,171.0,294.0,1783.0,76.3,453.0,1919.0,4.7,17.0,79.0,34.0
Jake Rudock,162.0,245.0,1528.0,6.0,13.0,4.0,7.0,41.0,89.2,27.0,157.0,6.0,1.0,2.0,0.0
Jalen Hurts,1115.0,1756.0,12985.0,7.6,73.0,36.0,123.0,700.0,91.4,569.0,2694.0,4.7,46.0,39.0,12.0
Jameill Showers,44.0,94.0,443.0,4.2,3.0,2.0,7.0,43.0,60.7,9.0,70.0,7.3,0.0,2.0,2.0
Jameis Winston,1961.0,3189.0,24522.0,8.2,155.0,104.0,221.0,1450.0,90.0,316.0,1310.0,4.1,13.0,60.0,25.0
James Foote,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
James Morgan,19.0,35.0,208.0,4.5,2.0,1.0,2.0,12.0,66.8,6.0,-13.0,-2.2,0.0,1.0,0.0
James Ritchey,2.0,2.0,15.0,7.5,0.0,0.0,1.0,9.0,97.9,1.0,6.0,6.0,0.0,0.0,0.0
James Robertson,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jamie Martin,355.0,541.0,3814.0,8.4,20.0,21.0,36.0,230.0,88.4,44.0,16.0,0.8,0.0,10.0,5.0
Jared Goff,2903.0,4509.0,33151.0,7.4,196.0,87.0,245.0,1785.0,92.6,273.0,542.0,2.1,12.0,71.0,36.0
Jared Lorenzen,4.0,8.0,28.0,3.2,0.0,0.0,1.0,5.0,56.0,3.0,6.0,2.0,0.0,0.0,0.0
Jaren Hall,39.0,68.0,432.0,7.0,1.0,2.0,13.0,80.0,74.1,14.0,49.0,3.5,0.0,3.0,2.0
Jarious Jackson,16.0,32.0,168.0,4.0,0.0,1.0,3.0,20.0,50.1,7.0,15.0,3.1,0.0,2.0,0.0
Jarrett Guarantano,17.0,30.0,232.0,7.2,3.0,0.0,4.0,33.0,111.6,8.0,27.0,6.1,0.0,1.0,0.0
Jarrett Stidham,241.0,393.0,2885.0,7.1,13.0,10.0,39.0,230.0,80.0,60.0,260.0,4.7,2.0,7.0,3.0
Jason Campbell,1681.0,2780.0,18495.0,6.4,94.0,65.0,194.0,1244.0,81.2,250.0,1250.0,5.8,7.0,56.0,18.0
Jason Fife,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jason Garrett,168.0,297.0,2060.0,5.4,11.0,5.0,21.0,115.0,76.2,36.0,8.0,0.2,0.0,5.0,3.0
