PLAYER,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
Johnny Johnson,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Johnny Long,9.0,14.0,128.0,9.1,1.0,1.0,0.0,0.0,92.3,26.0,5.0,0.4,0.0,1.0,0.0
Johnny Lujack,419.0,837.0,6488.0,7.7,41.0,57.0,0.0,305.0,67.9,136.0,744.0,6.2,21.0,7.0,0.0
Johnny Mackorell,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,6.0,3.0,0.0,0.0,0.0
Johnny Manziel,194.0,346.0,2131.0,5.5,10.0,7.0,30.0,212.0,73.8,63.0,380.0,5.3,3.0,9.0,3.0
Johnny Pingel,27.0,48.0,343.0,6.6,3.0,4.0,0.0,0.0,74.4,74.0,301.0,3.7,1.0,0.0,0.0
Johnny Unitas,2950.0,5412.0,41902.0,7.7,297.0,263.0,250.0,3219.0,77.6,471.0,1869.0,3.9,14.0,98.0,1.0
Jon Brittenum,9.0,17.0,125.0,7.4,1.0,1.0,7.0,63.0,81.2,2.0,-4.0,-2.0,0.0,0.0,0.0
Jon Kitna,2800.0,4638.0,31178.0,7.0,177.0,171.0,339.0,2079.0,80.7,324.0,996.0,3.0,11.0,117.0,46.0
Jonathan Quinn,117.0,223.0,1161.0,4.8,4.0,7.0,30.0,201.0,58.0,25.0,151.0,4.6,1.0,9.0,4.0
Jordan Love,545.0,859.0,6132.0,7.2,47.0,21.0,37.0,283.0,94.5,85.0,365.0,4.0,4.0,15.0,5.0
Jordan Palmer,122.0,213.0,1214.0,5.0,8.0,12.0,19.0,126.0,65.0,20.0,76.0,3.5,0.0,1.0,0.0
Josh Booty,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Josh Freeman,1361.0,2432.0,15899.0,6.5,87.0,79.0,144.0,884.0,76.0,229.0,1099.0,5.4,6.0,43.0,16.0
Josh Johnson,537.0,893.0,6148.0,6.5,35.0,23.0,67.0,409.0,82.2,206.0,1291.0,6.5,5.0,29.0,11.0
Josh McCown,1772.0,2920.0,19429.0,6.2,108.0,90.0,264.0,1698.0,75.6,286.0,1215.0,4.1,13.0,91.0,37.0
Josh Portis,10.0,24.0,124.0,5.4,1.0,0.0,1.0,4.0,76.6,10.0,51.0,4.1,0.0,0.0,0.0
Josh Rosen,357.0,653.0,3761.0,5.4,14.0,23.0,69.0,464.0,61.0,41.0,197.0,5.0,1.0,12.0,6.0
Josh Woodrum,31.0,47.0,365.0,9.7,2.0,1.0,1.0,8.0,95.0,16.0,42.0,2.7,2.0,3.0,0.0
Joshua Dobbs,455.0,734.0,4557.0,6.4,24.0,22.0,48.0,333.0,78.2,129.0,743.0,6.3,9.0,23.0,9.0
Jug Girard,62.0,175.0,881.0,5.2,4.0,12.0,0.0,193.0,46.3,45.0,198.0,5.5,1.0,4.0,0.0
June Jones,75.0,166.0,923.0,6.4,3.0,7.0,30.0,232.0,64.5,17.0,15.0,0.7,0.0,8.0,0.0
Justin Fields,636.0,1046.0,7373.0,7.7,47.0,30.0,140.0,928.0,83.5,374.0,2350.0,6.0,15.0,39.0,11.0
Justin Herbert,1638.0,2465.0,17496.0,7.2,115.0,42.0,133.0,891.0,95.9,227.0,923.0,3.8,11.0,22.0,6.0
Karl Sweetan,269.0,590.0,3210.0,5.4,17.0,34.0,48.0,384.0,55.3,56.0,306.0,3.9,2.0,11.0,0.0
Kay Stephenson,40.0,105.0,481.0,4.1,6.0,9.0,7.0,46.0,49.7,6.0,41.0,6.5,0.0,0.0,0.0
Keith Bishop,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Keith Molesworth,68.0,177.0,1259.0,7.1,14.0,16.0,0.0,0.0,65.3,306.0,903.0,2.9,5.0,0.0,0.0
Keith Null,105.0,182.0,891.0,5.1,4.0,11.0,17.0,114.0,59.4,10.0,-4.0,-0.8,0.0,4.0,1.0
Keith Wenning,27.0,56.0,256.0,3.3,1.0,3.0,1.0,5.0,44.9,7.0,24.0,5.2,1.0,0.0,0.0
Kellen Clemens,635.0,1146.0,7274.0,5.9,29.0,34.0,102.0,613.0,69.1,124.0,401.0,3.6,4.0,29.0,9.0
Kellen Mond,101.0,179.0,1008.0,5.3,5.0,5.0,8.0,71.0,72.0,24.0,107.0,3.4,0.0,4.0,1.0
Kellen Moore,228.0,387.0,2521.0,6.2,14.0,11.0,13.0,67.0,78.3,21.0,6.0,0.3,1.0,5.0,3.0
Kelly Cochrane,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Kelly Holcomb,591.0,936.0,6345.0,6.2,42.0,39.0,72.0,545.0,78.0,45.0,33.0,0.5,1.0,25.0,11.0
Kelly Stouffer,225.0,437.0,2333.0,4.7,7.0,19.0,50.0,431.0,54.1,30.0,75.0,1.8,0.0,20.0,7.0
Ken Dorsey,254.0,487.0,2550.0,5.0,9.0,21.0,29.0,201.0,56.1,12.0,34.0,3.3,0.0,10.0,4.0
Ken Heineman,18.0,57.0,285.0,5.3,3.0,8.0,0.0,0.0,45.8,49.0,126.0,2.8,0.0,0.0,0.0
Ken Karcher,62.0,114.0,756.0,7.2,6.0,4.0,5.0,45.0,84.1,9.0,3.0,0.2,0.0,2.0,0.0
Ken Mercer,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Ken Stabler,2473.0,4144.0,30579.0,7.3,213.0,235.0,309.0,2769.0,78.6,126.0,127.0,1.1,6.0,68.0,8.0
Kenji Bahar,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,-3.0,-1.5,0.0,0.0,0.0
Kenny Pickett,488.0,764.0,4934.0,7.0,18.0,13.0,52.0,372.0,89.0,101.0,303.0,3.4,4.0,6.0,1.0
Kent Austin,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0
Kent Graham,694.0,1339.0,7801.0,5.7,39.0,33.0,100.0,679.0,65.3,121.0,424.0,3.9,5.0,22.0,9.0
Kent Nix,301.0,652.0,3644.0,4.9,23.0,49.0,40.0,306.0,50.4,43.0,145.0,2.6,2.0,13.0,0.0
Kerry Collins,3859.0,6983.0,45472.0,6.5,235.0,226.0,383.0,2515.0,72.4,426.0,878.0,2.0,11.0,156.0,65.0
Kerry Joseph,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Kerwin Bell,5.0,5.0,75.0,15.0,1.0,0.0,0.0,0.0,158.3,1.0,-1.0,-1.0,0.0,0.0,0.0
Kevin Daft,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Kevin Hogan,131.0,215.0,1388.0,6.0,12.0,10.0,16.0,92.0,81.1,35.0,205.0,3.9,1.0,3.0,1.0
Kevin Ingram,1.0,2.0,5.0,2.5,1.0,0.0,1.0,6.0,95.8,2.0,14.0,7.0,0.0,2.0,2.0
Kevin Kolb,587.0,1003.0,6781.0,6.2,33.0,30.0,95.0,648.0,75.6,82.0,312.0,3.4,2.0,19.0,10.0
Kevin Sweeney,47.0,106.0,605.0,6.3,7.0,6.0,12.0,95.0,63.1,11.0,42.0,4.7,0.0,3.0,2.0
Kevin Thompson,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0
Kim Hammond,15.0,32.0,147.0,4.7,0.0,2.0,3.0,28.0,47.6,1.0,0.0,0.0,0.0,0.0,0.0
Kim McQuilken,108.0,272.0,1135.0,3.7,4.0,29.0,31.0,322.0,35.4,19.0,49.0,2.0,0.0,9.0,0.0
King Corcoran,3.0,7.0,33.0,5.5,0.0,2.0,1.0,10.0,56.2,1.0,-1.0,-1.0,0.0,0.0,0.0
King Hill,429.0,881.0,5553.0,5.9,37.0,71.0,31.0,449.0,55.6,88.0,308.0,3.4,9.0,27.0,0.0
Kirk Cousins,3782.0,5673.0,42923.0,7.6,291.0,117.0,330.0,2416.0,97.8,330.0,1030.0,3.1,22.0,98.0,40.0
Kirk Farmer,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Kliff Kingsbury,1.0,2.0,17.0,8.5,0.0,0.0,0.0,0.0,79.2,0.0,0.0,,0.0,0.0,0.0
Kordell Stewart,1385.0,2500.0,15490.0,5.8,79.0,92.0,181.0,1082.0,70.5,614.0,3156.0,4.9,42.0,47.0,22.0
Koy Detmer,192.0,369.0,2035.0,4.3,10.0,15.0,13.0,85.0,57.2,31.0,30.0,1.5,1.0,5.0,3.0
Kurt Benkert,80.0,145.0,832.0,5.8,2.0,6.0,13.0,79.0,55.5,12.0,32.0,4.1,0.0,2.0,1.0
Kurt Kittner,44.0,114.0,391.0,3.5,2.0,6.0,5.0,30.0,31.3,8.0,13.0,2.2,0.0,0.0,0.0
Kurt Warner,3009.0,4595.0,36758.0,8.2,239.0,145.0,284.0,1808.0,93.6,200.0,305.0,1.7,5.0,113.0,49.0
Kyle Allen,545.0,881.0,5775.0,6.3,30.0,23.0,70.0,555.0,81.8,80.0,220.0,2.9,4.0,21.0,12.0
Kyle Boller,926.0,1627.0,9674.0,6.0,50.0,55.0,133.0,869.0,71.6,193.0,635.0,3.8,3.0,43.0,21.0
Kyle Grossart,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Kyle Lauletta,98.0,174.0,1161.0,5.8,8.0,5.0,7.0,44.0,76.4,14.0,53.0,4.2,1.0,1.0,0.0
Kyle Mackey,68.0,134.0,729.0,4.5,3.0,6.0,7.0,42.0,55.2,19.0,101.0,4.9,2.0,4.0,1.0
Kyle Orton,1950.0,3246.0,22003.0,6.7,123.0,91.0,185.0,1154.0,81.0,142.0,315.0,2.3,4.0,38.0,24.0
Kyle Shurmur,67.0,106.0,653.0,5.7,3.0,2.0,5.0,15.0,79.2,11.0,35.0,2.8,0.0,5.0,2.0
Kyle Sloter,110.0,149.0,1218.0,8.8,11.0,1.0,8.0,59.0,121.0,13.0,44.0,2.6,1.0,1.0,1.0
Kyle Trask,120.0,201.0,1301.0,6.0,4.0,5.0,19.0,128.0,70.3,12.0,10.0,0.9,0.0,7.0,3.0
Kyle Wachholtz,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Kyler Murray,1535.0,2313.0,15979.0,6.9,94.0,48.0,156.0,1125.0,91.6,433.0,2475.0,5.6,26.0,43.0,8.0
Lamar Jackson,1521.0,2395.0,17765.0,7.4,135.0,52.0,205.0,1061.0,94.3,973.0,5929.0,6.3,35.0,60.0,24.0
Lamar McHan,693.0,1638.0,10692.0,6.1,81.0,119.0,32.0,995.0,53.9,256.0,908.0,4.1,12.0,23.0,0.0
Landry Jones,308.0,513.0,3336.0,6.7,18.0,21.0,32.0,246.0,74.0,28.0,-13.0,-0.1,0.0,7.0,3.0
Lang Campbell,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Larry Buhler,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,41.0,121.0,1.8,0.0,0.0,0.0
Larry Cipa,34.0,92.0,424.0,4.4,1.0,3.0,7.0,50.0,57.0,18.0,37.0,2.0,1.0,5.0,0.0
Larry Ellis,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Larry Fortner,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Larry Lawrence,9.0,31.0,79.0,3.5,0.0,4.0,6.0,45.0,41.0,6.0,36.0,7.5,0.0,0.0,0.0
Larry Marks,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Larry Miller,1.0,6.0,2.0,0.4,0.0,1.0,1.0,10.0,21.2,1.0,-1.0,-1.0,0.0,0.0,0.0
Larry Rakestraw,51.0,111.0,589.0,5.6,4.0,9.0,11.0,97.0,56.5,21.0,49.0,2.8,2.0,6.0,0.0
Larry Weldon,4.0,6.0,33.0,3.3,0.0,0.0,0.0,0.0,66.9,8.0,8.0,-0.9,0.0,0.0,0.0
Laurie Walquist,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Lee Grosscup,73.0,173.0,1086.0,6.0,10.0,12.0,0.0,53.0,55.6,13.0,73.0,5.2,0.0,7.0,0.0
Lee Saltz,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Lee Shaffer,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,26.0,86.0,2.9,1.0,0.0,0.0
Lee Williamson,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Len Barnum,39.0,125.0,606.0,5.2,5.0,16.0,0.0,0.0,48.6,246.0,605.0,2.5,3.0,1.0,0.0
Len Dawson,2243.0,3929.0,30208.0,7.7,246.0,191.0,278.0,2549.0,81.5,315.0,1396.0,3.9,9.0,86.0,1.0
Leo Hart,6.0,16.0,53.0,2.4,0.0,3.0,4.0,32.0,19.7,5.0,19.0,4.6,0.0,2.0,0.0
Leo Jensvold,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Leon Pense,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,6.0,1.0,0.1,0.0,1.0,0.0
Les Hart,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Les Haws,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Les Molloy,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,9.0,20.0,1.6,0.0,0.0,0.0
Lew Lane,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Lo Boutwell,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Logan Thomas,51.0,95.0,644.0,6.1,4.0,5.0,11.0,89.0,73.4,19.0,54.0,2.3,0.0,5.0,2.0
Logan Woodside,157.0,244.0,1522.0,5.9,7.0,5.0,27.0,182.0,79.4,37.0,105.0,3.8,1.0,3.0,2.0
Loren Snyder,4.0,9.0,44.0,2.8,0.0,0.0,0.0,0.0,53.2,2.0,0.0,0.0,0.0,1.0,1.0
Luis Perez,8.0,15.0,43.0,2.9,0.0,1.0,0.0,0.0,31.2,0.0,0.0,,0.0,0.0,0.0
Luke Falk,108.0,167.0,942.0,6.2,3.0,4.0,27.0,157.0,80.7,5.0,18.0,4.0,0.0,4.0,1.0
Luke McCown,443.0,715.0,4796.0,6.4,31.0,21.0,49.0,378.0,82.2,65.0,325.0,5.0,0.0,14.0,6.0
Lynn Dickey,1783.0,3184.0,23914.0,7.5,146.0,182.0,299.0,2438.0,72.9,142.0,121.0,1.2,9.0,65.0,11.0
M C Reynolds,222.0,450.0,2932.0,5.8,17.0,28.0,0.0,139.0,58.2,88.0,419.0,3.8,4.0,9.0,0.0
Mac Jones,943.0,1428.0,9722.0,6.8,49.0,39.0,97.0,689.0,83.9,125.0,372.0,3.1,1.0,16.0,7.0
Malik Cunningham,3.0,6.0,19.0,2.4,0.0,0.0,2.0,8.0,62.0,6.0,39.0,5.9,1.0,0.0,0.0
Malik Willis,104.0,179.0,1153.0,6.4,5.0,8.0,31.0,165.0,69.4,68.0,433.0,6.0,3.0,8.0,4.0
Manch Wheeler,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,7.0,2.3,0.0,0.0,0.0
Manny Wilkins,2.0,6.0,35.0,9.3,0.0,0.0,1.0,8.0,77.1,7.0,24.0,3.2,0.0,0.0,0.0
Marc Bulger,2086.0,3364.0,24264.0,7.3,128.0,101.0,269.0,1961.0,84.1,130.0,339.0,3.0,8.0,46.0,27.0
Marc Wilson,1096.0,2108.0,14526.0,7.3,87.0,105.0,212.0,1521.0,67.6,144.0,614.0,4.2,5.0,46.0,19.0
Marcus Mariota,1479.0,2360.0,17782.0,7.9,105.0,60.0,211.0,1362.0,90.1,395.0,2295.0,5.7,18.0,44.0,19.0
Marcus Randall,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Marger Apsit,1.0,5.0,25.0,3.1,0.0,2.0,0.0,0.0,6.8,7.0,35.0,4.9,0.0,0.0,0.0
Marion Pugh,39.0,82.0,551.0,6.4,4.0,3.0,0.0,0.0,67.6,48.0,-2.0,-1.2,0.0,0.0,0.0
Mark Brunell,2973.0,5034.0,34589.0,6.8,200.0,120.0,417.0,2545.0,82.6,554.0,2571.0,4.5,15.0,82.0,32.0
Mark Butterfield,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Mark Hartsell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,,0.0,0.0,0.0
Mark Herrmann,334.0,561.0,4015.0,7.4,16.0,36.0,49.0,439.0,72.4,35.0,-1.0,0.1,1.0,16.0,7.0
Mark Malone,879.0,1719.0,10733.0,6.5,64.0,84.0,88.0,683.0,64.6,164.0,622.0,3.9,18.0,35.0,14.0
Mark Manges,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Mark Miller,1.0,3.0,9.0,3.0,0.0,1.0,0.0,0.0,2.8,0.0,0.0,,0.0,0.0,0.0
Mark Reed,6.0,10.0,34.0,3.4,0.0,1.0,0.0,0.0,26.7,2.0,27.0,13.5,0.0,0.0,0.0
Mark Rypien,1592.0,2847.0,20249.0,7.0,123.0,98.0,104.0,705.0,77.9,145.0,158.0,1.4,9.0,46.0,25.0
Mark Sanchez,1603.0,2771.0,18588.0,6.8,110.0,101.0,193.0,1224.0,79.5,198.0,511.0,2.6,13.0,59.0,29.0
Mark Stevens,2.0,4.0,52.0,13.0,1.0,0.0,0.0,0.0,99.0,10.0,45.0,4.0,1.0,0.0,0.0
Mark Vlasic,84.0,162.0,886.0,5.0,5.0,9.0,7.0,71.0,62.0,4.0,-1.0,-0.2,0.0,4.0,1.0
Marlin Briscoe,93.0,224.0,1589.0,7.1,14.0,13.0,30.0,265.0,60.5,41.0,308.0,6.2,3.0,3.0,0.0
Marquel Blackwell,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Marques Tuiasosopo,52.0,96.0,602.0,5.6,3.0,7.0,11.0,80.0,63.9,21.0,128.0,5.6,0.0,7.0,2.0
Marty Domres,401.0,820.0,4913.0,6.6,28.0,52.0,82.0,608.0,62.5,134.0,696.0,5.0,10.0,12.0,0.0
Marty Horn,5.0,11.0,68.0,6.2,0.0,0.0,1.0,7.0,65.7,1.0,0.0,0.0,0.0,1.0,1.0
Marty Slovak,27.0,54.0,307.0,5.4,2.0,9.0,0.0,0.0,41.7,46.0,132.0,3.0,0.0,0.0,0.0
Mason Rudolph,426.0,675.0,4628.0,6.7,30.0,14.0,37.0,283.0,89.7,59.0,147.0,3.0,0.0,13.0,2.0
Matt Barkley,500.0,835.0,6238.0,7.2,28.0,37.0,29.0,225.0,79.6,49.0,19.0,0.7,1.0,16.0,8.0
Matt Blundin,2.0,9.0,15.0,1.1,0.0,2.0,0.0,0.0,14.1,0.0,0.0,,0.0,0.0,0.0
Matt Cassel,1964.0,3313.0,21455.0,6.4,120.0,101.0,264.0,1495.0,77.1,316.0,1263.0,3.9,5.0,72.0,27.0
Matt Cavanaugh,306.0,581.0,4335.0,6.7,28.0,30.0,61.0,471.0,74.8,61.0,215.0,2.2,3.0,7.0,2.0
Matt Corral,38.0,71.0,318.0,4.1,0.0,1.0,7.0,36.0,60.4,8.0,59.0,10.3,0.0,2.0,1.0
Matt Flynn,685.0,1104.0,7603.0,6.4,49.0,33.0,130.0,770.0,78.3,144.0,363.0,2.5,1.0,41.0,28.0
Matt Gutierrez,46.0,74.0,566.0,7.8,2.0,2.0,6.0,44.0,82.8,11.0,-1.0,-0.4,0.0,2.0,1.0
Matt Hasselbeck,3615.0,5989.0,40968.0,6.8,237.0,168.0,392.0,2468.0,82.3,398.0,1388.0,3.7,9.0,74.0,31.0
Matt Kofler,91.0,202.0,1156.0,5.5,7.0,11.0,33.0,254.0,63.0,20.0,159.0,7.3,1.0,1.0,0.0
Matt Lytle,17.0,30.0,133.0,2.3,1.0,3.0,3.0,24.0,36.4,2.0,8.0,4.0,0.0,0.0,0.0
Matt Mauck,15.0,27.0,136.0,5.0,0.0,1.0,1.0,8.0,54.7,7.0,39.0,5.6,0.0,1.0,1.0
Matt McGloin,103.0,159.0,782.0,4.5,3.0,4.0,1.0,6.0,68.9,5.0,16.0,6.0,0.0,2.0,1.0
Matt Moore,899.0,1524.0,10419.0,6.6,58.0,53.0,121.0,883.0,72.7,95.0,115.0,1.1,2.0,39.0,14.0
Matt Ryan,6070.0,9275.0,68674.0,7.5,418.0,196.0,538.0,3583.0,94.5,557.0,1663.0,3.3,14.0,114.0,53.0
Matt Schaub,2519.0,3898.0,29551.0,7.4,150.0,101.0,200.0,1368.0,86.9,218.0,376.0,1.7,4.0,50.0,19.0
Matt Simms,135.0,221.0,1520.0,7.0,4.0,4.0,22.0,151.0,82.0,34.0,136.0,3.6,0.0,8.0,5.0
Matthew Stafford,5270.0,8313.0,61432.0,7.7,393.0,196.0,507.0,3372.0,92.8,449.0,1411.0,3.2,18.0,87.0,42.0
Maury Duncan,8.0,26.0,122.0,4.2,0.0,2.0,0.0,23.0,46.1,1.0,-5.0,-5.0,0.0,1.0,0.0
Max Choboian,82.0,163.0,1110.0,6.9,4.0,12.0,0.0,0.0,56.3,21.0,45.0,0.1,2.0,4.0,0.0
Max Duggan,6.0,12.0,34.0,4.0,1.0,0.0,3.0,23.0,86.4,10.0,71.0,6.8,0.0,1.0,0.0
Max Hall,55.0,105.0,655.0,7.1,2.0,7.0,15.0,90.0,56.6,6.0,9.0,0.9,1.0,5.0,2.0
McLeod Bethel Thompson,84.0,140.0,882.0,5.8,5.0,4.0,12.0,65.0,71.7,13.0,33.0,3.1,0.0,2.0,0.0
Michael Bishop,3.0,9.0,80.0,12.5,1.0,1.0,0.0,0.0,63.2,7.0,-1.0,-0.8,0.0,0.0,0.0
Mickey Slaughter,291.0,584.0,3607.0,5.6,23.0,38.0,33.0,263.0,55.9,70.0,266.0,3.9,1.0,18.0,0.0
Mike Bercovici,12.0,21.0,176.0,8.6,0.0,2.0,1.0,3.0,72.7,1.0,-2.0,-2.0,0.0,1.0,1.0
Mike Boryla,272.0,519.0,2838.0,5.6,20.0,29.0,49.0,400.0,61.5,43.0,224.0,4.8,2.0,7.0,0.0
Mike Boyda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,,0.0,0.0,0.0
Mike Buck,55.0,92.0,790.0,10.1,5.0,4.0,5.0,27.0,75.6,5.0,-4.0,-0.4,0.0,3.0,1.0
Mike Busch,17.0,47.0,278.0,10.2,3.0,2.0,7.0,72.0,71.4,0.0,0.0,,0.0,0.0,0.0
Mike Cherry,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,39.6,4.0,-5.0,-1.5,0.0,0.0,0.0
Mike Elkins,1.0,2.0,5.0,2.5,0.0,1.0,0.0,0.0,16.7,0.0,0.0,,0.0,0.0,0.0
Mike Ernst,1.0,4.0,10.0,2.5,0.0,0.0,0.0,0.0,39.6,1.0,4.0,4.0,0.0,0.0,0.0
Mike Glennon,911.0,1538.0,9442.0,6.0,61.0,46.0,107.0,800.0,77.5,62.0,134.0,2.2,1.0,30.0,15.0
Mike Hohensee,28.0,52.0,343.0,6.6,4.0,1.0,3.0,19.0,90.7,6.0,66.0,10.8,0.0,2.0,0.0
Mike Hold,8.0,24.0,123.0,4.6,2.0,1.0,3.0,18.0,51.6,7.0,69.0,9.4,0.0,0.0,0.0
Mike Kafka,83.0,156.0,904.0,6.0,5.0,7.0,12.0,73.0,68.4,24.0,93.0,4.8,0.0,1.0,1.0
Mike Kelley,17.0,29.0,305.0,10.9,1.0,0.0,1.0,7.0,105.0,4.0,17.0,5.8,0.0,0.0,0.0
Mike Kerrigan,7.0,15.0,85.0,9.0,0.0,1.0,0.0,0.0,74.2,1.0,14.0,14.0,0.0,0.0,0.0
Mike Kirkland,19.0,41.0,211.0,3.6,1.0,8.0,11.0,78.0,37.9,8.0,35.0,3.3,0.0,0.0,0.0
Mike Kruczek,98.0,160.0,1229.0,6.5,0.0,8.0,23.0,222.0,69.1,38.0,135.0,3.6,2.0,8.0,0.0
Mike Livingston,912.0,1751.0,11295.0,6.5,56.0,83.0,153.0,1404.0,63.0,156.0,682.0,4.6,7.0,39.0,0.0
Mike Loyd,5.0,28.0,49.0,1.4,0.0,1.0,7.0,48.0,30.3,6.0,2.0,0.5,0.0,1.0,0.0
Mike Machurek,14.0,43.0,193.0,14.7,0.0,6.0,1.0,12.0,33.4,1.0,9.0,9.0,0.0,0.0,0.0
Mike McCoy,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Mike McMahon,229.0,515.0,2867.0,5.5,15.0,21.0,55.0,338.0,55.0,82.0,409.0,4.9,7.0,19.0,8.0
Mike Moroski,241.0,425.0,2864.0,5.3,8.0,18.0,40.0,312.0,64.9,37.0,182.0,4.9,2.0,12.0,8.0
Mike Norseth,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,5.0,5.0,0.0,0.0,0.0
Mike Nott,4.0,10.0,46.0,4.6,0.0,0.0,1.0,9.0,54.6,0.0,0.0,,0.0,0.0,0.0
Mike Pagel,773.0,1534.0,9593.0,6.3,51.0,64.0,115.0,837.0,64.6,137.0,830.0,5.7,4.0,29.0,9.0
Mike Palm,3.0,8.0,51.0,7.0,0.0,2.0,0.0,0.0,66.0,14.0,6.0,0.7,0.0,0.0,0.0
Mike Pawlawski,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Mike Perrie,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Mike Phipps,911.0,1858.0,10806.0,5.9,56.0,115.0,176.0,1528.0,59.3,263.0,1328.0,4.8,14.0,40.0,0.0
Mike Purdy,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Mike Quinn,3.0,4.0,30.0,8.3,0.0,0.0,0.0,0.0,93.7,10.0,-12.0,-1.2,0.0,0.0,0.0
Mike Rae,183.0,380.0,2283.0,5.5,16.0,21.0,99.0,791.0,61.5,67.0,495.0,6.3,2.0,12.0,0.0
Mike Shula,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Mike Taliaferro,419.0,966.0,5241.0,5.0,36.0,63.0,74.0,768.0,52.2,46.0,134.0,3.7,0.0,17.0,0.0
Mike Teel,19.0,38.0,232.0,5.0,3.0,1.0,0.0,0.0,71.2,0.0,0.0,,0.0,0.0,0.0
Mike Tomczak,1322.0,2480.0,16963.0,6.6,90.0,115.0,118.0,836.0,68.5,207.0,555.0,2.5,9.0,40.0,25.0
Mike Vick,50.0,113.0,785.0,6.8,2.0,3.0,21.0,113.0,69.2,31.0,289.0,10.4,1.0,6.0,5.0
Mike White,340.0,547.0,3547.0,6.8,12.0,16.0,30.0,218.0,79.2,23.0,0.0,-0.1,1.0,8.0,5.0
