PLAYER,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Chuck Muncie,1873.0,8159.0,4.3,73.0,81.0,319.0,2768.0,8.8,39.0,3.0,76.0,13.0
Chuck Nesser,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Chuck Newton,1.0,0.0,0.0,0.0,0.0,10.0,145.0,13.7,22.0,1.0,0.0,0.0
Chuck Ortmann,8.0,24.0,2.2,15.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Chuck Palmer,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Chuck Reichow,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Chuck Sample,59.0,257.0,4.2,31.0,4.0,6.0,35.0,4.9,10.0,1.0,0.0,0.0
Chuck Sanders,15.0,77.0,3.0,14.0,1.0,3.0,30.0,10.0,11.0,0.0,0.0,0.0
Chuck Weatherspoon,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Chuck Webb,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Chuck Weimer,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ciatrick Fason,50.0,161.0,1.8,15.0,5.0,3.0,19.0,7.8,12.0,0.0,1.0,1.0
Cid Edwards,698.0,3006.0,4.4,50.0,15.0,144.0,1492.0,10.3,61.0,4.0,23.0,0.0
Cierre Wood,57.0,267.0,3.9,41.0,0.0,10.0,89.0,7.6,18.0,0.0,0.0,0.0
Clair Cook,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Clarence Bailey,10.0,55.0,5.5,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Clarence Davis,932.0,4146.0,4.5,45.0,28.0,112.0,961.0,8.3,45.0,3.0,27.0,4.0
Clarence Graham,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Clarence Harmon,369.0,1414.0,3.9,47.0,5.0,134.0,1387.0,10.2,45.0,11.0,8.0,0.0
Clarence Hawkins,21.0,72.0,2.0,34.0,0.0,2.0,24.0,12.0,20.0,1.0,1.0,0.0
Clarence Kellogg,66.0,164.0,2.1,10.0,0.0,4.0,11.0,2.8,6.0,0.0,0.0,0.0
Clarence Peaks,951.0,3660.0,3.6,70.0,21.0,190.0,1793.0,9.6,53.0,3.0,46.0,0.0
Clarence Tommerson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Clarence Walker,2.0,14.0,7.0,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Clarence Williams,0.0,0.0,,,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0
Clark Gaines,582.0,2552.0,4.2,52.0,8.0,166.0,1438.0,8.9,31.0,6.0,11.0,0.0
Clarke Fischer,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Clarke Hinkle,1160.0,3788.0,3.4,59.0,35.0,49.0,537.0,10.3,49.0,9.0,1.0,0.0
Claude King,33.0,194.0,6.6,71.0,3.0,8.0,125.0,17.5,44.0,1.0,2.0,0.0
Claxton Welch,41.0,150.0,2.6,14.0,3.0,7.0,21.0,1.4,8.0,0.0,2.0,0.0
Clay Brown,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Clayton Heath,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Clem Daniels,1145.0,5137.0,4.1,74.0,30.0,203.0,3314.0,16.5,74.0,24.0,41.0,0.0
Clem Nugent,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Clem Turner,74.0,270.0,3.1,34.0,2.0,21.0,112.0,5.2,17.0,1.0,3.0,0.0
Cleo Miller,607.0,2516.0,3.3,50.0,17.0,142.0,1195.0,8.4,38.0,1.0,27.0,1.0
Clete Fischer,26.0,72.0,3.2,10.0,0.0,3.0,45.0,12.5,36.0,1.0,0.0,0.0
Cleve Wester,33.0,113.0,5.0,14.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Cleveland Franklin,208.0,635.0,3.0,21.0,3.0,36.0,258.0,7.6,16.0,0.0,13.0,3.0
Cleveland Gary,675.0,2648.0,3.9,63.0,24.0,135.0,874.0,6.7,60.0,5.0,26.0,14.0
Clif Groce,69.0,287.0,3.9,29.0,1.0,49.0,305.0,5.8,24.0,0.0,2.0,1.0
Cliff Aberson,48.0,161.0,2.6,13.0,0.0,0.0,0.0,,,0.0,2.0,0.0
Cliff Austin,109.0,445.0,3.9,22.0,2.0,11.0,118.0,11.2,21.0,0.0,1.0,1.0
Cliff Baldwin,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Cliff Battles,734.0,3140.0,4.5,75.0,21.0,37.0,566.0,14.7,63.0,3.0,1.0,0.0
Cliff Chatman,22.0,80.0,3.1,13.0,2.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0
Cliff Hansen,9.0,55.0,5.9,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Cliff Jetmore,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Cliff Marker,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Cliff McClain,79.0,445.0,4.9,63.0,2.0,13.0,151.0,12.5,44.0,0.0,8.0,0.0
Cliff Steele,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Cliff Taylor,23.0,65.0,1.4,17.0,2.0,5.0,44.0,8.8,18.0,0.0,1.0,0.0
Clifton Dawson,67.0,148.0,2.2,12.0,2.0,5.0,36.0,7.2,9.0,0.0,0.0,0.0
Clint Jones,636.0,2297.0,3.3,80.0,20.0,39.0,436.0,10.2,72.0,0.0,21.0,1.0
Clint McClain,9.0,36.0,3.4,11.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0
Clinton Portis,2329.0,10252.0,4.4,78.0,77.0,258.0,2076.0,7.9,74.0,5.0,27.0,19.0
Clyde Edwards Helaire,499.0,2118.0,3.8,52.0,13.0,104.0,846.0,7.4,48.0,7.0,3.0,3.0
Clyde Scott,108.0,421.0,3.2,40.0,2.0,21.0,419.0,17.4,70.0,4.0,13.0,0.0
Cobb Rooney,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Coley McDonough,96.0,254.0,1.8,28.0,1.0,2.0,6.0,3.0,3.0,2.0,0.0,0.0
Collin Mooney,5.0,19.0,3.8,8.0,0.0,9.0,45.0,5.2,22.0,0.0,0.0,0.0
Cookie Gilchrist,1034.0,4422.0,4.1,67.0,37.0,113.0,1168.0,9.6,76.0,6.0,30.0,0.0
Corby Davis,143.0,382.0,2.2,18.0,4.0,19.0,133.0,6.8,44.0,0.0,0.0,0.0
Cordarrelle Patterson,347.0,1494.0,3.8,40.0,14.0,82.0,708.0,6.8,64.0,6.0,4.0,1.0
Corey Clement,301.0,1243.0,4.0,38.0,10.0,73.0,632.0,8.2,55.0,4.0,7.0,3.0
Corey Croom,82.0,287.0,2.7,22.0,1.0,10.0,105.0,10.1,21.0,0.0,2.0,1.0
Corey Dillon,2738.0,11749.0,4.2,96.0,86.0,256.0,1987.0,8.0,52.0,7.0,29.0,20.0
Corey Grant,145.0,854.0,6.0,79.0,5.0,40.0,405.0,10.1,28.0,1.0,2.0,2.0
Corey McIntyre,26.0,94.0,2.7,25.0,1.0,23.0,156.0,6.6,18.0,0.0,1.0,1.0
Corey Walker,12.0,55.0,3.4,20.0,0.0,2.0,35.0,17.5,33.0,0.0,0.0,0.0
Corky Taylor,26.0,95.0,1.6,13.0,0.0,7.0,47.0,6.3,17.0,1.0,1.0,0.0
Correll Buckhalter,1484.0,6572.0,4.2,64.0,44.0,328.0,3132.0,10.6,59.0,12.0,24.0,16.0
Corwin Clatt,7.0,40.0,4.2,26.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Cory Boyd,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Cory Ross,12.0,72.0,6.0,32.0,1.0,0.0,0.0,,0.0,0.0,3.0,2.0
Cory Schlesinger,174.0,496.0,2.4,26.0,5.0,197.0,1445.0,7.4,43.0,9.0,7.0,4.0
Cosmo Iacovazzi,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Cowboy Hill,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Coye Dunn,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Craig Baynham,176.0,608.0,3.3,22.0,8.0,49.0,480.0,9.7,40.0,4.0,12.0,0.0
Craig Ellis,36.0,144.0,3.6,14.0,2.0,5.0,39.0,10.5,15.0,0.0,2.0,1.0
Craig Heyward,1054.0,4355.0,3.6,73.0,31.0,183.0,1624.0,8.6,34.0,4.0,16.0,11.0
Craig Reynolds,196.0,816.0,4.2,35.0,5.0,38.0,309.0,7.4,36.0,0.0,2.0,2.0
Craig Taylor,114.0,480.0,4.4,34.0,7.0,28.0,188.0,7.1,20.0,3.0,1.0,1.0
Craig Walendy,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Crazy Legs Hirsch,70.0,287.0,4.2,51.0,1.0,22.0,326.0,15.5,48.0,4.0,4.0,0.0
Cullen Bryant,962.0,3711.0,3.8,26.0,22.0,167.0,1327.0,8.4,39.0,4.0,12.0,2.0
Cullen Gillaspia,0.0,0.0,,,0.0,2.0,12.0,6.0,6.0,0.0,0.0,0.0
Cullen Rogers,6.0,-8.0,0.0,4.0,0.0,0.0,0.0,,,0.0,3.0,0.0
Cully Lidberg,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Curley Johnson,62.0,215.0,3.7,25.0,1.0,27.0,292.0,11.6,32.0,3.0,7.0,0.0
Curly Hinchman,69.0,186.0,2.8,0.0,0.0,3.0,45.0,15.0,18.0,0.0,0.0,0.0
Curly Lambeau,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Curt Mecham,3.0,0.0,-2.0,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Curt Sandig,50.0,116.0,0.7,39.0,3.0,6.0,103.0,13.6,38.0,0.0,0.0,0.0
Curt Warner,1769.0,7093.0,3.8,60.0,58.0,204.0,1536.0,7.4,30.0,7.0,39.0,20.0
Curtis Adams,262.0,907.0,3.5,24.0,7.0,9.0,76.0,8.6,21.0,0.0,5.0,2.0
Curtis Bledsoe,30.0,85.0,2.5,13.0,0.0,4.0,32.0,9.0,17.0,0.0,6.0,2.0
Curtis Brinkley,111.0,379.0,3.5,14.0,3.0,31.0,187.0,5.7,25.0,0.0,1.0,0.0
Curtis Dickey,963.0,4119.0,4.2,67.0,32.0,138.0,1609.0,12.5,72.0,8.0,34.0,22.0
Curtis Enis,456.0,1497.0,3.0,29.0,4.0,59.0,428.0,6.9,28.0,2.0,5.0,5.0
Curtis Keaton,23.0,91.0,3.6,21.0,0.0,1.0,9.0,9.0,9.0,0.0,1.0,0.0
Curtis Martin,3700.0,14896.0,3.9,78.0,98.0,521.0,3634.0,6.8,41.0,10.0,32.0,19.0
Curtis McClinton,803.0,3248.0,3.8,69.0,18.0,158.0,1996.0,11.3,69.0,15.0,29.0,0.0
Curtis Stewart,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Curvin Richards,55.0,181.0,2.5,15.0,1.0,3.0,8.0,2.7,6.0,0.0,3.0,3.0
Cy Casper,110.0,300.0,2.8,0.0,1.0,15.0,234.0,17.1,40.0,1.0,0.0,0.0
Cy Kasper,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Cy Wentworth,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Cyril Pinder,428.0,1709.0,4.0,50.0,7.0,67.0,556.0,7.5,48.0,0.0,12.0,0.0
Cyrus Gray,94.0,425.0,4.3,25.0,3.0,16.0,77.0,5.6,18.0,0.0,0.0,0.0
D J Dozier,188.0,745.0,3.8,38.0,8.0,36.0,316.0,8.2,30.0,2.0,4.0,2.0
D J Foster,68.0,190.0,2.7,17.0,1.0,51.0,465.0,8.3,30.0,1.0,2.0,2.0
Dahrran Diedrick,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Daimon Shelton,41.0,104.0,2.1,16.0,1.0,84.0,586.0,7.6,24.0,2.0,4.0,2.0
Dale Atkeson,208.0,639.0,3.3,45.0,4.0,19.0,184.0,9.5,45.0,1.0,8.0,0.0
Dale Burnett,53.0,95.0,1.7,3.0,0.0,88.0,1309.0,14.6,44.0,15.0,1.0,0.0
Dale Evans,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dalton Hilliard,1145.0,4228.0,3.7,65.0,40.0,257.0,2291.0,8.8,54.0,14.0,32.0,15.0
Dalton Hoffman,3.0,14.0,6.2,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Dalvin Cook,1430.0,6561.0,4.7,85.0,50.0,257.0,1961.0,7.4,64.0,5.0,22.0,16.0
Dalyn Dawkins,62.0,261.0,3.3,20.0,0.0,8.0,61.0,6.6,13.0,2.0,0.0,0.0
Damarea Crockett,61.0,218.0,3.9,17.0,1.0,6.0,36.0,6.3,13.0,0.0,1.0,1.0
Dameon Hunter,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dameon Pierce,390.0,1486.0,3.6,75.0,7.0,43.0,266.0,7.3,27.0,1.0,5.0,2.0
Damien Anderson,45.0,142.0,3.9,17.0,0.0,9.0,72.0,7.4,12.0,0.0,0.0,0.0
Damien Harris,521.0,2409.0,4.3,64.0,23.0,47.0,327.0,6.9,21.0,0.0,3.0,2.0
Damien Nash,24.0,98.0,3.5,26.0,0.0,7.0,55.0,7.2,13.0,0.0,0.0,0.0
Damien Williams,552.0,2155.0,3.4,91.0,26.0,202.0,1625.0,7.8,62.0,18.0,8.0,6.0
Damon Washington,28.0,89.0,1.2,22.0,0.0,4.0,25.0,7.2,16.0,0.0,2.0,1.0
Dan Alexander,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dan Barnhart,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dan Berry,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dan Curley,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dan DeSantis,45.0,125.0,3.0,26.0,0.0,4.0,53.0,13.2,19.0,0.0,0.0,0.0
Dan Doornink,562.0,1997.0,3.1,46.0,15.0,224.0,2117.0,11.0,80.0,12.0,17.0,6.0
Dan Herron,288.0,1120.0,3.4,49.0,4.0,78.0,553.0,7.6,57.0,1.0,7.0,4.0
Dan Klecko,0.0,0.0,,,0.0,6.0,36.0,5.4,12.0,0.0,0.0,0.0
Dan Kreider,33.0,146.0,4.2,22.0,2.0,69.0,529.0,8.1,26.0,2.0,1.0,0.0
Dan Land,9.0,20.0,2.2,6.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Dan Lewis,800.0,3205.0,3.8,74.0,19.0,99.0,1162.0,13.8,92.0,5.0,27.0,0.0
Dan Reeder,8.0,28.0,3.2,6.0,0.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0
Dan Reeves,571.0,2081.0,3.6,67.0,26.0,144.0,1856.0,12.4,60.0,17.0,22.0,0.0
Dan Towler,717.0,3649.0,4.7,79.0,45.0,65.0,700.0,11.1,49.0,1.0,28.0,1.0
Dana McLemore,0.0,0.0,,,0.0,0.0,0.0,,,0.0,9.0,5.0
Daniel Coats,0.0,0.0,,,0.0,4.0,22.0,5.5,11.0,0.0,0.0,0.0
Daniel Lasco,54.0,161.0,3.3,16.0,0.0,15.0,96.0,5.9,14.0,0.0,1.0,1.0
Daniel Thomas,486.0,1738.0,3.3,55.0,13.0,65.0,511.0,8.3,32.0,3.0,6.0,4.0
Danny Coughlin,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Danny Pierce,5.0,6.0,1.1,8.0,0.0,1.0,6.0,6.0,6.0,0.0,3.0,0.0
Danny Vitale,1.0,3.0,3.0,3.0,0.0,20.0,176.0,8.2,27.0,0.0,0.0,0.0
Danny Woodhead,502.0,2017.0,4.1,29.0,12.0,286.0,2468.0,9.3,61.0,17.0,5.0,3.0
Dante Brown,2.0,4.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dante Hall,2.0,10.0,5.0,6.0,0.0,0.0,0.0,,,0.0,3.0,1.0
Dante Magnani,333.0,1472.0,4.6,79.0,3.0,83.0,1064.0,12.0,67.0,12.0,7.0,0.0
Dantrell Savage,57.0,277.0,5.2,70.0,0.0,17.0,95.0,5.7,15.0,0.0,2.0,2.0
Dare Ogunbowale,234.0,742.0,3.2,25.0,6.0,106.0,819.0,7.8,41.0,1.0,3.0,1.0
Darian Barnes,5.0,10.0,1.6,8.0,0.0,20.0,189.0,8.2,25.0,1.0,4.0,0.0
Darick Holmes,601.0,2274.0,3.5,38.0,13.0,94.0,809.0,7.9,47.0,1.0,9.0,4.0
Darius Anderson,2.0,5.0,2.5,3.0,0.0,2.0,17.0,8.5,10.0,0.0,0.0,0.0
Darius Bradwell,9.0,32.0,4.1,12.0,1.0,5.0,13.0,3.1,4.0,0.0,0.0,0.0
Darius Jackson,91.0,315.0,3.3,25.0,1.0,19.0,153.0,8.6,18.0,1.0,0.0,0.0
Darius Reynaud,40.0,154.0,5.9,18.0,0.0,2.0,8.0,4.0,4.0,0.0,2.0,2.0
Darius Victor,35.0,126.0,3.4,11.0,1.0,3.0,22.0,7.5,9.0,0.0,1.0,1.0
Darius Walker,81.0,336.0,4.3,41.0,1.0,15.0,94.0,5.4,9.0,0.0,0.0,0.0
Darnell Autry,224.0,653.0,3.1,17.0,4.0,33.0,334.0,9.0,37.0,1.0,4.0,2.0
Darnell Powell,31.0,117.0,3.9,20.0,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0
Darrel Williams,332.0,1301.0,3.7,41.0,14.0,105.0,883.0,8.4,52.0,5.0,2.0,2.0
Darrel Young,51.0,174.0,3.7,19.0,7.0,50.0,486.0,9.3,62.0,5.0,1.0,0.0
Darrell Fisher,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Darrell Harper,1.0,3.0,3.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Darrell Henderson,469.0,1918.0,4.1,40.0,15.0,87.0,657.0,7.9,32.0,4.0,0.0,0.0
Darrell Lester,38.0,102.0,3.5,10.0,0.0,2.0,26.0,13.0,21.0,1.0,3.0,0.0
Darrell Thompson,483.0,1710.0,3.0,60.0,7.0,47.0,416.0,7.6,43.0,1.0,6.0,4.0
Darren Evans,49.0,154.0,3.1,23.0,4.0,3.0,32.0,9.0,28.0,0.0,2.0,1.0
Darren Lewis,121.0,496.0,3.8,33.0,4.0,24.0,219.0,10.7,30.0,0.0,4.0,3.0
Darren McFadden,1419.0,5985.0,4.1,70.0,30.0,272.0,2229.0,7.6,67.0,5.0,21.0,16.0
Darren Sproles,863.0,4104.0,5.0,49.0,30.0,634.0,5588.0,8.8,81.0,36.0,29.0,15.0
Darrin Hall,9.0,33.0,2.1,28.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Darrin Nelson,1200.0,5254.0,4.6,72.0,18.0,370.0,3423.0,8.4,68.0,5.0,35.0,20.0
Darrin Reaves,78.0,241.0,2.8,20.0,3.0,12.0,68.0,6.6,16.0,0.0,1.0,1.0
Darroll DeLaPorte,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Darryl Clack,29.0,113.0,4.9,17.0,2.0,22.0,213.0,10.0,44.0,1.0,5.0,3.0
Darryl Clark,5.0,11.0,1.0,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Darryl Oliver,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Darrynton Evans,107.0,458.0,4.2,35.0,3.0,21.0,159.0,8.3,33.0,1.0,0.0,0.0
Darwin Thompson,109.0,436.0,3.7,16.0,3.0,27.0,180.0,5.7,37.0,2.0,2.0,1.0
Daryl Johnston,255.0,823.0,3.0,18.0,10.0,331.0,2474.0,7.5,28.0,15.0,11.0,6.0
Daryl Richardson,275.0,1056.0,3.7,53.0,3.0,57.0,430.0,8.1,26.0,0.0,4.0,3.0
Dave Ames,38.0,228.0,6.0,26.0,0.0,12.0,40.0,3.2,9.0,0.0,0.0,0.0
Dave Atkins,5.0,23.0,4.4,8.0,1.0,1.0,-3.0,-3.0,-3.0,0.0,0.0,0.0
Dave Barrett,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dave Bernard,1.0,6.0,6.0,6.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0
Dave Cook,74.0,281.0,3.9,21.0,1.0,4.0,13.0,3.2,6.0,0.0,0.0,0.0
Dave Farmer,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dave Francis,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dave Gagnon,1.0,15.0,15.0,15.0,0.0,4.0,20.0,5.0,16.0,0.0,0.0,0.0
Dave Hampton,1231.0,4827.0,3.7,59.0,26.0,131.0,1213.0,10.1,50.0,6.0,56.0,0.0
Dave Kopay,235.0,876.0,3.1,32.0,3.0,77.0,593.0,7.4,44.0,4.0,7.0,0.0
Dave Maginnes,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dave Mann,154.0,544.0,4.6,65.0,4.0,37.0,444.0,11.7,42.0,2.0,8.0,0.0
Dave Meggett,429.0,1827.0,4.2,51.0,8.0,361.0,3202.0,9.4,62.0,11.0,46.0,18.0
Dave Mishel,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dave Moore,1.0,4.0,4.0,4.0,0.0,13.0,102.0,9.2,21.0,0.0,0.0,0.0
Dave Noble,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Dave Osborn,1288.0,4716.0,3.5,73.0,34.0,183.0,1465.0,7.6,38.0,7.0,31.0,2.0
Dave Preston,492.0,1831.0,4.0,28.0,11.0,167.0,1482.0,8.6,37.0,4.0,15.0,3.0
Dave Rolle,130.0,501.0,4.5,15.0,2.0,21.0,122.0,4.1,13.0,1.0,9.0,0.0
Dave Ryan,39.0,94.0,2.1,8.0,1.0,2.0,67.0,33.5,63.0,1.0,5.0,0.0
Dave Smukler,146.0,546.0,3.6,11.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dave Zuidmulder,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
David Adams,7.0,49.0,5.8,27.0,1.0,1.0,8.0,8.0,8.0,0.0,2.0,1.0
David Allen,4.0,8.0,3.0,6.0,0.0,8.0,68.0,9.1,31.0,1.0,5.0,1.0
David Cobb,79.0,253.0,2.5,12.0,1.0,4.0,8.0,2.0,8.0,0.0,1.0,1.0
David Fluellen,68.0,291.0,4.0,53.0,1.0,10.0,75.0,5.5,26.0,0.0,0.0,0.0
David Green,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
David Hughes,339.0,1160.0,3.3,26.0,3.0,109.0,882.0,8.6,33.0,5.0,15.0,7.0
David Johnson,1083.0,4372.0,3.8,58.0,42.0,300.0,2950.0,10.0,58.0,18.0,19.0,11.0
David Kirtman,4.0,15.0,3.7,6.0,0.0,5.0,36.0,6.5,10.0,0.0,0.0,0.0
David Lang,49.0,273.0,4.6,71.0,5.0,30.0,388.0,13.7,67.0,1.0,8.0,3.0
David Montgomery,1198.0,4885.0,4.1,80.0,42.0,181.0,1437.0,8.6,32.0,4.0,8.0,7.0
David Overstreet,94.0,442.0,4.7,44.0,1.0,8.0,55.0,6.2,20.0,2.0,3.0,3.0
David Palmer,26.0,113.0,4.3,15.0,1.0,53.0,439.0,8.6,33.0,1.0,7.0,4.0
David Toloumu,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
David Wilson,167.0,814.0,4.9,84.0,6.0,18.0,134.0,7.5,29.0,1.0,3.0,3.0
DeAndra Cobb,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
DeAndre Washington,383.0,1485.0,3.3,36.0,8.0,106.0,764.0,7.7,35.0,2.0,5.0,4.0
DeAngelo Williams,1904.0,8840.0,4.3,77.0,67.0,261.0,2274.0,9.1,72.0,10.0,19.0,12.0
DeMarco Murray,1744.0,7813.0,4.3,91.0,54.0,329.0,2372.0,7.0,48.0,7.0,20.0,13.0
DeShaun Foster,1031.0,4021.0,3.9,71.0,14.0,150.0,1167.0,7.7,47.0,5.0,20.0,12.0
DeShawn Wynn,103.0,467.0,4.2,73.0,5.0,15.0,119.0,8.7,18.0,0.0,1.0,0.0
DeWayne McBride,20.0,70.0,3.4,9.0,2.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0
Deacon Turner,142.0,549.0,2.8,65.0,1.0,25.0,141.0,6.2,15.0,1.0,8.0,0.0
Dean McAdams,148.0,413.0,3.0,39.0,0.0,10.0,105.0,7.6,47.0,0.0,0.0,0.0
Dean Philpott,12.0,44.0,2.3,7.0,0.0,4.0,30.0,8.0,12.0,0.0,0.0,0.0
Dean Renfro,4.0,13.0,3.8,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dean Sensanbaugher,20.0,36.0,1.9,7.0,1.0,0.0,0.0,,,0.0,3.0,0.0
Dean Steward,1.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Deck Shelley,10.0,6.0,0.8,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Dee Brown,119.0,405.0,3.0,24.0,4.0,21.0,114.0,5.3,15.0,2.0,5.0,3.0
DeeJay Dallas,162.0,721.0,4.5,27.0,6.0,74.0,548.0,7.1,43.0,3.0,4.0,2.0
Deji Karim,174.0,618.0,3.2,27.0,1.0,24.0,189.0,8.0,26.0,0.0,5.0,0.0
Deke Edler,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Del Rodgers,92.0,375.0,3.6,22.0,2.0,11.0,134.0,12.5,24.0,0.0,6.0,2.0
Del Thompson,4.0,7.0,1.8,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Delone Carter,179.0,638.0,3.6,42.0,6.0,11.0,54.0,5.4,13.0,0.0,4.0,3.0
Delvin Joyce,13.0,41.0,2.4,8.0,0.0,4.0,12.0,3.0,5.0,0.0,4.0,2.0
Delvin Williams,1333.0,5640.0,4.1,80.0,33.0,159.0,1449.0,8.7,85.0,6.0,25.0,0.0
Demetric Felton,49.0,186.0,3.4,16.0,1.0,33.0,287.0,9.1,33.0,2.0,5.0,0.0
Denard Robinson,295.0,1210.0,4.3,41.0,6.0,54.0,380.0,7.2,23.0,0.0,5.0,3.0
Deneric Prince,22.0,79.0,3.5,15.0,1.0,3.0,10.0,3.0,7.0,0.0,0.0,0.0
Dennis Bligen,93.0,365.0,3.7,28.0,4.0,20.0,136.0,6.2,19.0,0.0,6.0,3.0
Dennis Gentry,110.0,557.0,5.1,29.0,4.0,82.0,932.0,11.4,41.0,1.0,9.0,5.0
Dennis Johnson,82.0,312.0,3.4,29.0,1.0,13.0,77.0,6.4,14.0,0.0,6.0,2.0
Dennis Lundy,0.0,0.0,,,0.0,2.0,22.0,11.0,11.0,0.0,2.0,2.0
Dennis McKinley,1.0,1.0,1.0,1.0,0.0,4.0,27.0,6.8,10.0,0.0,0.0,0.0
Dennis Morgan,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,0.0
Deon Anderson,5.0,10.0,2.0,4.0,1.0,17.0,136.0,7.1,17.0,1.0,0.0,0.0
