PLAYER,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Charles Way,347.0,1384.0,3.4,42.0,10.0,119.0,925.0,7.6,62.0,4.0,3.0,0.0
Charles White,790.0,3107.0,3.5,58.0,23.0,116.0,875.0,6.6,36.0,1.0,28.0,17.0
Charley Carr,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charley Fuller,38.0,134.0,2.1,19.0,0.0,17.0,344.0,22.4,85.0,2.0,2.0,0.0
Charley Hill,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charley Mitchell,353.0,1138.0,2.8,35.0,5.0,62.0,550.0,9.4,79.0,3.0,10.0,0.0
Charley Taylor,431.0,1419.0,3.3,50.0,11.0,165.0,2510.0,17.6,86.0,20.0,23.0,0.0
Charley Tolar,940.0,3387.0,3.4,40.0,22.0,178.0,1276.0,6.8,52.0,2.0,26.0,0.0
Charley Young,137.0,655.0,4.4,53.0,2.0,44.0,437.0,10.3,42.0,2.0,4.0,0.0
Charlie Bivins,175.0,579.0,3.0,43.0,4.0,29.0,286.0,9.4,52.0,3.0,5.0,0.0
Charlie Browning,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie Davis,113.0,482.0,5.0,29.0,1.0,22.0,203.0,9.0,32.0,0.0,5.0,0.0
Charlie Evans,205.0,644.0,2.9,24.0,12.0,58.0,501.0,9.8,44.0,1.0,12.0,0.0
Charlie Flowers,111.0,416.0,3.8,14.0,4.0,38.0,406.0,10.1,55.0,1.0,3.0,0.0
Charlie Garner,1624.0,7559.0,4.5,80.0,41.0,443.0,3902.0,8.7,69.0,13.0,20.0,13.0
Charlie Gauer,12.0,69.0,4.3,25.0,0.0,4.0,53.0,13.2,18.0,0.0,0.0,0.0
Charlie Harraway,887.0,3215.0,3.4,57.0,20.0,169.0,1362.0,7.8,64.0,7.0,22.0,0.0
Charlie Justice,266.0,1284.0,4.2,71.0,3.0,63.0,962.0,16.2,80.0,7.0,27.0,0.0
Charlie Killett,11.0,36.0,3.1,8.0,0.0,0.0,0.0,,,0.0,2.0,0.0
Charlie Leigh,74.0,380.0,4.4,34.0,2.0,9.0,-4.0,-1.7,7.0,0.0,12.0,0.0
Charlie Lungren,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie Mathys,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie McBride,2.0,1.0,0.5,0.0,0.0,1.0,38.0,38.0,38.0,1.0,0.0,0.0
Charlie McGibbony,26.0,81.0,3.8,27.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie McLaughlin,6.0,22.0,3.7,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie Mills,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie Mitchell,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Charlie Pittman,4.0,7.0,1.8,3.0,0.0,0.0,0.0,,,0.0,2.0,0.0
Charlie Richardson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie Rogers,0.0,0.0,,,0.0,1.0,7.0,7.0,7.0,0.0,9.0,6.0
Charlie Scales,157.0,603.0,3.4,27.0,4.0,21.0,144.0,7.7,22.0,0.0,12.0,0.0
Charlie Shepard,30.0,91.0,3.5,14.0,0.0,1.0,31.0,15.0,16.0,0.0,1.0,0.0
Charlie Thomas,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,0.0
Charlie Trippi,557.0,2765.0,5.2,57.0,16.0,126.0,1275.0,9.5,62.0,11.0,23.0,0.0
Charlie Van Horn,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie Way,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Charlie White,61.0,193.0,2.6,27.0,1.0,4.0,36.0,9.0,18.0,1.0,3.0,0.0
Chase Brown,72.0,248.0,3.3,31.0,1.0,20.0,188.0,7.2,54.0,1.0,1.0,0.0
Chase Edmonds,505.0,2156.0,4.2,54.0,12.0,171.0,1283.0,7.2,36.0,6.0,4.0,1.0
Chase Reynolds,24.0,105.0,3.5,38.0,0.0,9.0,92.0,10.9,22.0,2.0,0.0,0.0
Chauncey Washington,97.0,330.0,3.3,29.0,1.0,24.0,152.0,6.4,17.0,0.0,4.0,4.0
