PLAYER,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Rodney A Williams,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,1.0
Rodney Adams,19.0,234.0,12.2,73.0,3.0,1.0,14.0,14.0,14.0,0.0,2.0,1.0
Rodney Hannah,8.0,80.0,8.1,20.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Rodney Holman,355.0,4578.0,12.7,73.0,34.0,0.0,0.0,,,0.0,9.0,6.0
Rodney Smith,18.0,273.0,15.9,37.0,4.0,0.0,0.0,,,0.0,0.0,0.0
Roell Preston,30.0,360.0,13.4,61.0,2.0,0.0,0.0,,,0.0,13.0,5.0
Roger Carr,273.0,5106.0,18.6,90.0,32.0,2.0,-21.0,-10.5,-8.0,0.0,0.0,0.0
Roger Carter,2.0,22.0,11.0,14.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Roger Farmer,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roger Gill,5.0,85.0,18.7,29.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Roger Hagberg,6.0,84.0,14.4,20.0,1.0,3.0,12.0,3.8,5.0,0.0,0.0,0.0
Roger Kiley,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roger Lewis,58.0,711.0,13.1,34.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Roger Powell,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roger Wallace,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roland Dale,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roland Moss,13.0,186.0,13.3,22.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Roland Williams,122.0,1087.0,9.2,49.0,14.0,0.0,0.0,,,0.0,1.0,0.0
Romby Bryant,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Romeo Doubs,123.0,1488.0,12.1,46.0,15.0,1.0,11.0,11.0,11.0,0.0,3.0,1.0
Ron Battle,2.0,62.0,31.0,51.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Ron Cassidy,14.0,233.0,15.9,43.0,0.0,0.0,0.0,,,0.0,2.0,0.0
Ron Copeland,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Daugherty,2.0,21.0,10.5,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Dickerson,2.0,11.0,5.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
