PLAYER,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
A J Brown,409.0,6392.0,15.5,91.0,45.0,6.0,79.0,13.2,49.0,1.0,8.0,5.0
A J Derby,59.0,667.0,10.6,29.0,4.0,0.0,0.0,,,0.0,2.0,2.0
A J Green,798.0,11466.0,14.5,82.0,74.0,12.0,103.0,8.0,22.0,0.0,13.0,8.0
A J Jenkins,31.0,448.0,15.2,48.0,1.0,6.0,22.0,3.7,9.0,0.0,2.0,1.0
A J Ofodile,4.0,25.0,6.2,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
A J Richardson,5.0,67.0,13.4,28.0,1.0,0.0,0.0,,,0.0,0.0,0.0
A T Perry,24.0,350.0,18.0,44.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Burbridge,13.0,140.0,11.9,24.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Cox,102.0,1732.0,18.3,69.0,8.0,0.0,0.0,,,0.0,2.0,1.0
Aaron Dobson,84.0,1192.0,14.1,81.0,5.0,0.0,0.0,,,0.0,1.0,0.0
Aaron Fuller,5.0,61.0,13.0,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Halterman,1.0,7.0,7.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Hernandez,239.0,2625.0,11.6,46.0,22.0,19.0,179.0,9.3,43.0,0.0,4.0,2.0
Aaron Laing,18.0,147.0,7.9,22.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Marsh,27.0,439.0,14.4,70.0,4.0,4.0,8.0,2.0,11.0,0.0,0.0,0.0
Aaron Mellette,9.0,140.0,19.9,40.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Moorehead,36.0,371.0,9.7,36.0,1.0,0.0,0.0,,,0.0,1.0,0.0
Aaron Oliker,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Parker,5.0,76.0,14.0,36.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Aaron Pierce,100.0,1046.0,9.5,54.0,6.0,2.0,7.0,3.5,6.0,1.0,3.0,3.0
Aaron Shea,83.0,765.0,10.0,37.0,7.0,0.0,0.0,,,0.0,1.0,1.0
Aaron Thomas,268.0,4680.0,18.0,71.0,37.0,5.0,-19.0,-3.8,23.0,0.0,3.0,0.0
Aaron Walker,25.0,312.0,12.4,30.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Abe Addams,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Abe Croft,11.0,152.0,17.6,67.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Ace Sanders,65.0,620.0,9.5,51.0,1.0,3.0,7.0,2.3,4.0,0.0,2.0,1.0
Adam Bergen,43.0,381.0,9.0,32.0,2.0,0.0,0.0,,,0.0,2.0,2.0
Adam Herzing,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adam Humphries,355.0,3666.0,10.5,51.0,14.0,9.0,36.0,4.3,8.0,0.0,7.0,1.0
Adam Jennings,10.0,126.0,14.0,39.0,1.0,1.0,-4.0,-4.0,-4.0,0.0,11.0,8.0
Adam Shaheen,64.0,619.0,9.1,43.0,7.0,0.0,0.0,,,0.0,1.0,1.0
Adam Thielen,700.0,8531.0,12.3,71.0,62.0,25.0,185.0,6.3,41.0,1.0,10.0,5.0
Adam Trautman,62.0,649.0,10.8,41.0,4.0,0.0,0.0,,,0.0,1.0,1.0
Adam Young,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adrian Arrington,33.0,567.0,16.3,51.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Adrian Cooper,89.0,1064.0,12.0,47.0,6.0,0.0,0.0,,,0.0,5.0,4.0
Adrian Madise,2.0,10.0,5.0,5.0,0.0,1.0,10.0,10.0,10.0,0.0,1.0,1.0
Adrian McBride,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Adrien Robinson,14.0,176.0,11.6,33.0,1.0,0.0,0.0,,,0.0,1.0,1.0
Ahmad Merritt,19.0,170.0,9.7,25.0,0.0,2.0,52.0,26.0,47.0,1.0,4.0,2.0
Ahmad Rashad,516.0,7134.0,14.4,98.0,45.0,10.0,52.0,6.8,15.0,0.0,13.0,1.0
Airese Currie,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Akwasi Owusu Ansah,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Baldwin,28.0,555.0,21.1,85.0,3.0,0.0,0.0,,,0.0,3.0,0.0
Al Barnes,7.0,101.0,15.1,23.0,2.0,0.0,0.0,,,0.0,1.0,0.0
Al Chandler,58.0,609.0,10.4,47.0,15.0,0.0,0.0,,,0.0,0.0,0.0
Al Coppage,43.0,476.0,10.9,42.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Al Darby,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Denson,260.0,4275.0,17.0,82.0,32.0,4.0,3.0,0.8,9.0,0.0,2.0,0.0
Al Dixon,86.0,1266.0,14.8,48.0,8.0,1.0,-5.0,-5.0,-5.0,0.0,2.0,0.0
Al Dodd,111.0,1803.0,16.4,52.0,3.0,9.0,50.0,5.1,16.0,0.0,5.0,0.0
Al Edwards,29.0,294.0,10.4,33.0,1.0,2.0,25.0,12.5,17.0,0.0,4.0,4.0
Al Greer,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Hust,1.0,9.0,9.0,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Krueger,16.0,188.0,13.7,35.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Al Lawson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Marshall,1.0,17.0,17.0,17.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Al Norgard,3.0,29.0,12.8,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Olszewski,2.0,28.0,14.0,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Rose,20.0,297.0,14.8,36.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Al Snyder,1.0,12.0,12.0,12.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Swain,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Sykes,1.0,15.0,15.0,15.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Teeter,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Toon,543.0,6935.0,13.0,78.0,33.0,4.0,7.0,1.8,5.0,0.0,6.0,1.0
Al Williams,12.0,247.0,22.9,57.0,1.0,1.0,11.0,11.0,11.0,0.0,1.0,1.0
Al Young,11.0,144.0,12.6,33.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Alan Cross,17.0,153.0,8.6,23.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Albert Bell,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Albert Connell,156.0,2768.0,17.2,77.0,17.0,3.0,17.0,5.7,8.0,0.0,1.0,1.0
Albert Johnson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0
Albert Okwuegbunam,61.0,601.0,10.1,64.0,4.0,0.0,0.0,,,0.0,1.0,1.0
Albert Wilson,258.0,2826.0,11.2,75.0,17.0,31.0,170.0,5.3,55.0,1.0,0.0,0.0
Aldrick Robinson,126.0,2229.0,17.5,68.0,16.0,4.0,10.0,2.5,14.0,0.0,2.0,0.0
Alec Pierce,76.0,1143.0,16.5,58.0,4.0,0.0,0.0,,,0.0,1.0,0.0
Alex Bachman,26.0,240.0,9.2,22.0,4.0,1.0,-3.0,-3.0,-3.0,0.0,0.0,0.0
Alex Bannister,10.0,129.0,12.2,31.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Alex Bayer,10.0,135.0,13.6,42.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Ellis,34.0,285.0,7.6,22.0,2.0,0.0,0.0,,,0.0,1.0,1.0
Alex Erickson,167.0,2031.0,12.0,52.0,6.0,23.0,106.0,5.0,17.0,0.0,16.0,6.0
Alex Gray,2.0,15.0,7.5,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Hawkins,73.0,1142.0,14.9,54.0,6.0,29.0,481.0,16.0,54.0,4.0,1.0,0.0
Alex Higdon,3.0,60.0,20.0,34.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Alex Holmes,1.0,2.0,2.0,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Johnson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alex Piasecky,13.0,134.0,10.9,22.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Alex Urban,3.0,36.0,11.5,14.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Alex Van Dyke,27.0,235.0,9.4,18.0,3.0,0.0,0.0,,,0.0,1.0,1.0
Alex Wesley,1.0,18.0,18.0,18.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Alexander Hollins,5.0,72.0,13.5,35.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Alexander Wright,115.0,1802.0,17.2,76.0,12.0,6.0,42.0,7.0,17.0,0.0,4.0,0.0
Alfred Jackson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alfred Jenkins,366.0,6474.0,17.5,73.0,41.0,2.0,7.0,3.5,9.0,0.0,7.0,3.0
Alfred Pupunu,117.0,1177.0,9.5,43.0,5.0,0.0,0.0,,,0.0,2.0,1.0
Alfredo Roberts,50.0,476.0,9.6,37.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Alge Crumpler,400.0,5057.0,12.5,63.0,41.0,0.0,0.0,,,0.0,7.0,6.0
Alize Mack,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Allama Matthews,11.0,101.0,9.4,23.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Allen Brown,3.0,43.0,15.0,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Allen Hurns,283.0,3922.0,14.1,80.0,28.0,0.0,0.0,,,0.0,6.0,3.0
Allen Lazard,214.0,2923.0,13.4,72.0,23.0,9.0,75.0,9.4,21.0,0.0,0.0,0.0
Allen Reisner,32.0,365.0,11.5,21.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Allen Robinson,605.0,7567.0,12.2,90.0,44.0,3.0,10.0,3.3,9.0,0.0,2.0,1.0
Alonzo Johnson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alonzo Mayes,37.0,379.0,10.0,24.0,1.0,0.0,0.0,,,0.0,2.0,2.0
Alonzo Russell,8.0,100.0,14.6,47.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Alshon Jeffery,530.0,7560.0,14.6,80.0,50.0,23.0,140.0,6.0,38.0,1.0,6.0,1.0
Alton Alexis,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alvin Garrett,50.0,686.0,12.9,84.0,7.0,16.0,81.0,6.3,44.0,0.0,7.0,2.0
Alvin Harper,217.0,4193.0,19.9,94.0,25.0,2.0,18.0,9.0,15.0,0.0,5.0,5.0
Alvin Hooks,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alvin Morrow,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Alvin Reed,225.0,3124.0,13.7,60.0,15.0,0.0,0.0,,,0.0,9.0,1.0
Alvis Whitted,75.0,1068.0,15.5,57.0,7.0,14.0,118.0,8.4,27.0,0.0,2.0,2.0
Alyn Beals,22.0,315.0,14.7,38.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Amani Toomer,713.0,10118.0,14.5,82.0,61.0,13.0,116.0,8.4,28.0,1.0,9.0,5.0
Amara Darboh,11.0,93.0,8.4,16.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Amari Cooper,715.0,10219.0,14.4,90.0,64.0,17.0,40.0,2.7,11.0,0.0,10.0,4.0
Amari Rodgers,45.0,441.0,11.8,37.0,2.0,10.0,56.0,5.3,11.0,0.0,8.0,2.0
Amba Etta Tawo,3.0,57.0,24.5,41.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Amod Field,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Amon Ra St Brown,348.0,3953.0,11.0,70.0,22.0,21.0,182.0,7.2,58.0,1.0,1.0,1.0
Andrae Thurman,16.0,196.0,11.7,33.0,0.0,0.0,0.0,,,0.0,2.0,2.0
Andre Baccellia,15.0,140.0,8.3,21.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Andre Caldwell,191.0,2023.0,11.2,78.0,14.0,13.0,100.0,6.4,26.0,0.0,5.0,3.0
Andre Cooper,9.0,98.0,12.5,21.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andre Hastings,297.0,3623.0,13.0,89.0,18.0,15.0,163.0,12.0,37.0,0.0,8.0,5.0
Andre Holmes,161.0,2136.0,12.6,77.0,18.0,0.0,0.0,,,0.0,1.0,1.0
Andre Johnson,1137.0,15329.0,13.7,77.0,73.0,23.0,54.0,2.4,18.0,0.0,11.0,7.0
Andre King,31.0,343.0,11.1,48.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Andre Levrone,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andre Patton,20.0,185.0,9.1,21.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Andre President,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andre Reed,1036.0,14427.0,13.6,83.0,96.0,82.0,527.0,5.9,46.0,1.0,28.0,17.0
Andre Rison,826.0,11356.0,13.7,80.0,92.0,9.0,23.0,2.6,18.0,0.0,13.0,6.0
Andre Roberts,307.0,3638.0,11.9,74.0,18.0,19.0,168.0,8.8,34.0,1.0,30.0,12.0
Andre Rone,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andre Tillman,68.0,781.0,12.0,37.0,7.0,0.0,0.0,,,0.0,1.0,0.0
Andre Tyler,6.0,77.0,12.4,21.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Andre White,9.0,123.0,13.3,40.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andrei Iosivas,27.0,245.0,8.5,25.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Andrew Beck,5.0,69.0,12.7,27.0,0.0,3.0,1.0,0.3,1.0,0.0,0.0,0.0
Andrew Glover,223.0,2669.0,12.1,43.0,25.0,0.0,0.0,,,0.0,1.0,1.0
Andrew Hawkins,229.0,2572.0,11.6,65.0,10.0,18.0,73.0,3.8,11.0,0.0,5.0,1.0
Andrew Jordan,108.0,827.0,7.2,25.0,4.0,0.0,0.0,,,0.0,2.0,2.0
Andrew Ogletree,1.0,5.0,5.0,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andrew Quarless,126.0,1289.0,10.2,35.0,9.0,0.0,0.0,,,0.0,1.0,1.0
Andrew Turzilli,5.0,46.0,8.4,18.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andrew Vollert,9.0,80.0,10.3,25.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Feichtinger,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Gibler,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Haase,2.0,33.0,16.5,27.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Hamilton,16.0,270.0,15.8,44.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Isabella,56.0,809.0,15.3,88.0,4.0,6.0,10.0,0.9,6.0,0.0,2.0,0.0
Andy Johnson,8.0,147.0,18.8,34.0,0.0,2.0,-4.0,-2.0,-2.0,0.0,1.0,0.0
Andy Jones,26.0,251.0,9.3,48.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Andy Kowalski,20.0,300.0,14.5,58.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Andy McCullough,3.0,45.0,11.8,31.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Parker,8.0,46.0,5.8,12.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Andy Schillinger,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Andy Tanner,6.0,92.0,15.4,37.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Andy Thorn,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Angelo Coia,122.0,2059.0,17.6,80.0,20.0,5.0,-2.0,-1.8,25.0,0.0,1.0,0.0
Anquan Boldin,1188.0,15376.0,13.1,79.0,93.0,42.0,229.0,5.1,30.0,1.0,19.0,13.0
Anthony Allen,47.0,795.0,13.6,88.0,8.0,0.0,0.0,,,0.0,3.0,3.0
Anthony Armstrong,83.0,1449.0,17.4,76.0,6.0,2.0,19.0,9.5,14.0,0.0,1.0,1.0
Anthony Becht,200.0,1636.0,7.9,30.0,22.0,0.0,0.0,,,0.0,4.0,1.0
Anthony Bright,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Brooks,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Carter,523.0,8377.0,16.1,73.0,56.0,49.0,323.0,6.8,32.0,2.0,9.0,6.0
Anthony Denham,6.0,42.0,6.8,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Edwards,107.0,1478.0,13.7,66.0,5.0,1.0,-8.0,-8.0,-8.0,0.0,5.0,2.0
Anthony Fasano,341.0,3734.0,11.1,55.0,40.0,0.0,0.0,,,0.0,3.0,2.0
Anthony Firkser,149.0,1623.0,11.2,45.0,9.0,0.0,0.0,,,0.0,2.0,1.0
Anthony Gonzalez,122.0,1618.0,13.0,58.0,8.0,0.0,0.0,,,0.0,1.0,0.0
Anthony Hancock,73.0,1266.0,17.3,50.0,5.0,0.0,0.0,,,0.0,5.0,3.0
Anthony Hill,7.0,40.0,5.7,9.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Anthony Johnson,5.0,57.0,11.7,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Jones,7.0,48.0,7.6,11.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Ladd,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony McCoy,51.0,652.0,13.1,67.0,6.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Miller,151.0,1692.0,10.2,55.0,12.0,10.0,39.0,3.9,9.0,0.0,5.0,2.0
Anthony Mix,6.0,78.0,13.0,21.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Morgan,102.0,1442.0,15.4,84.0,12.0,6.0,86.0,12.1,35.0,0.0,2.0,0.0
Anthony Ratliff Williams,4.0,62.0,15.5,31.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Rodgers,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Anthony Schwartz,23.0,260.0,10.8,44.0,1.0,13.0,102.0,7.3,31.0,1.0,2.0,2.0
Antoine Green,8.0,153.0,16.1,70.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Antoine Wesley,23.0,273.0,11.9,38.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Antonio Brown,1044.0,14220.0,14.0,79.0,99.0,39.0,177.0,4.6,22.0,0.0,15.0,6.0
Antonio Bryant,436.0,6558.0,15.2,78.0,34.0,12.0,81.0,6.8,24.0,0.0,7.0,6.0
Antonio Callaway,59.0,824.0,13.5,71.0,6.0,3.0,10.0,3.2,15.0,0.0,1.0,1.0
Antonio Chatman,123.0,1261.0,10.2,25.0,6.0,16.0,76.0,4.8,18.0,0.0,5.0,2.0
Antonio Freeman,530.0,8074.0,14.9,84.0,71.0,9.0,22.0,2.4,14.0,0.0,16.0,6.0
Antonio Gandy Golden,8.0,80.0,8.5,18.0,0.0,1.0,22.0,22.0,22.0,0.0,0.0,0.0
Antonio Gates,1041.0,12728.0,12.1,72.0,122.0,0.0,0.0,,,0.0,9.0,7.0
Antony Auclair,23.0,209.0,9.7,26.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Antwaan Randle El,418.0,5047.0,12.0,63.0,18.0,85.0,449.0,4.8,43.0,0.0,33.0,14.0
Antwan Goodley,6.0,79.0,13.5,24.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Antwuan Wyatt,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
ArDarius Stewart,19.0,236.0,13.6,46.0,2.0,7.0,27.0,4.4,11.0,0.0,0.0,0.0
Ara Person,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Archie Golembeski,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Archie Milano,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Arland Bruce,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0
Armani Rogers,10.0,97.0,11.7,23.0,0.0,2.0,26.0,13.0,24.0,0.0,0.0,0.0
Armanti Edwards,31.0,422.0,15.7,82.0,0.0,6.0,8.0,2.0,7.0,0.0,3.0,2.0
Armon Binns,58.0,656.0,10.8,48.0,3.0,0.0,0.0,,,0.0,2.0,2.0
Arnaz Battle,203.0,2493.0,13.0,65.0,11.0,23.0,71.0,3.4,18.0,1.0,15.0,6.0
Arnold Franklin,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Arnold Jackson,14.0,86.0,6.0,16.0,1.0,0.0,0.0,,,0.0,2.0,0.0
Arrelious Benn,73.0,1065.0,15.3,65.0,8.0,18.0,61.0,3.3,17.0,0.0,2.0,0.0
Art Graham,202.0,3197.0,18.4,80.0,20.0,1.0,-5.0,-5.0,-5.0,0.0,2.0,0.0
Art Monk,1009.0,13783.0,14.0,79.0,75.0,69.0,349.0,4.5,26.0,0.0,13.0,5.0
Art Powell,479.0,8046.0,17.0,85.0,81.0,0.0,0.0,,,0.0,3.0,0.0
Art Strozier,3.0,46.0,13.0,28.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Artavis Scott,16.0,206.0,11.1,31.0,0.0,2.0,17.0,8.5,13.0,0.0,0.0,0.0
Arther Love,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Arthur Cox,180.0,1864.0,10.3,62.0,10.0,0.0,0.0,,,0.0,7.0,5.0
Arthur Marshall,92.0,1336.0,15.0,80.0,4.0,14.0,65.0,4.2,16.0,0.0,5.0,2.0
Arthur Wells,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Artie Owens,12.0,242.0,19.6,41.0,1.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0
Asante Cleveland,26.0,169.0,6.3,26.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Ashley Lelie,227.0,3901.0,17.0,60.0,16.0,20.0,172.0,8.2,39.0,0.0,1.0,0.0
Ashton Dulin,39.0,492.0,13.2,62.0,3.0,7.0,51.0,5.2,37.0,0.0,1.0,0.0
Ataveus Cash,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Atnaf Harris,1.0,8.0,8.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Aubrey Linne,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Aubrey Matthews,190.0,2452.0,13.5,57.0,11.0,10.0,21.0,1.9,12.0,0.0,9.0,7.0
Auden Tate,77.0,976.0,12.3,33.0,4.0,0.0,0.0,,,0.0,1.0,1.0
Aundra Thompson,125.0,2014.0,15.9,57.0,8.0,15.0,20.0,1.3,16.0,0.0,7.0,0.0
Aundrae Allison,27.0,347.0,11.6,35.0,0.0,3.0,4.0,1.3,3.0,0.0,4.0,1.0
Austin Carr,36.0,374.0,10.2,29.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Austin Collie,211.0,2345.0,10.6,73.0,19.0,2.0,1.0,0.5,2.0,0.0,1.0,1.0
Austin Denney,71.0,764.0,10.8,46.0,3.0,2.0,3.0,1.5,4.0,0.0,0.0,0.0
Austin Duke,5.0,75.0,15.4,21.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Austin Fort,7.0,54.0,9.9,29.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Austin Hooper,402.0,4047.0,10.5,88.0,28.0,0.0,0.0,,,0.0,1.0,1.0
Austin Mack,7.0,91.0,9.2,50.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Austin Pettis,120.0,1183.0,10.3,36.0,12.0,2.0,-6.0,-3.0,0.0,0.0,3.0,0.0
Austin Proehl,3.0,33.0,10.0,19.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Austin Seferian Jenkins,135.0,1381.0,10.9,43.0,12.0,0.0,0.0,,,0.0,2.0,2.0
Austin Trammell,23.0,216.0,8.6,27.0,0.0,0.0,0.0,,,0.0,4.0,1.0
Austin Traylor,13.0,146.0,12.9,34.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Austin Wheatley,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Avion Black,14.0,142.0,11.2,25.0,0.0,0.0,0.0,,,0.0,2.0,1.0
Az Zahir Hakim,354.0,4622.0,12.9,80.0,28.0,36.0,223.0,6.1,35.0,1.0,26.0,12.0
B J Cunningham,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
B J Daniels,20.0,172.0,8.9,22.0,1.0,26.0,162.0,5.8,20.0,0.0,4.0,1.0
Bailey Gaither,2.0,18.0,9.0,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Bake Turner,222.0,3566.0,16.4,74.0,25.0,2.0,13.0,6.5,17.0,0.0,6.0,0.0
Barney Mathews,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Barry Brown,21.0,214.0,10.8,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Barry Johnson,1.0,13.0,13.0,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Barry Pearson,88.0,1319.0,15.6,48.0,8.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0
Barry Rose,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Barry Smith,45.0,692.0,15.8,39.0,4.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0
Barry Wagner,1.0,16.0,16.0,16.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Bashir Yamini,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Bear Pascoe,54.0,436.0,7.9,22.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Beau Almodobar,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Beau Sandland,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ben Braunecker,23.0,250.0,11.3,22.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Ben Bronson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,2.0
Ben Coates,525.0,5813.0,11.1,84.0,51.0,3.0,-4.0,-1.3,2.0,0.0,8.0,7.0
Ben Edwards,1.0,9.0,9.0,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ben Ellefson,9.0,67.0,7.7,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ben Guidugli,4.0,29.0,7.2,12.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ben Hartsock,52.0,491.0,10.0,27.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Ben Hawkins,261.0,4764.0,18.7,92.0,32.0,10.0,8.0,0.8,12.0,0.0,8.0,0.0
